lang1,lang2,pos2,top_n,pool_size,observed_overlap,expected_overlap_by_chance
multidim,multidim_cantonese,noun,30,192,10,4.7
multidim,multidim_cantonese,predicate,30,99,3,9.1
multidim,multidim_english,noun,30,193,15,4.7
multidim,multidim_english,predicate,30,87,5,10.3
multidim,multidim_spanish,noun,30,191,0,4.7
multidim,multidim_spanish,predicate,30,80,4,11.2
multidim_cantonese,multidim_english,noun,30,199,15,4.5
multidim_cantonese,multidim_english,predicate,30,121,12,7.4
multidim_cantonese,multidim_spanish,noun,30,192,0,4.7
multidim_cantonese,multidim_spanish,predicate,30,108,1,8.3
multidim_english,multidim_spanish,noun,30,241,0,3.7
multidim_english,multidim_spanish,predicate,30,111,5,8.1
