uni_lemma,pos2,multidim,multidim_cantonese,multidim_english,multidim_spanish
Persimmon,noun,1.4911950329052213,NA,NA,NA
air conditioner,noun,1.1264070584996762,0.9123558715137232,NA,NA
airplane,noun,1.7854714814235362,1.7468304065702278,1.5174471470503008,0.3209633527639511
animal,noun,1.497989874796835,2.2386196576049846,1.3567735232176974,1.0263289747811704
ant,noun,1.730433229660134,0.9797998668364052,1.069875192603664,1.0135416083029614
apple,noun,1.6719770130630862,1.731911055656383,1.5064678557488709,1.2296854088047808
apron,noun,0.7292046647618035,NA,NA,NA
arrive,predicate,1.7751212546879285,NA,NA,NA
attach,predicate,1.9393709640461751,NA,NA,NA
back,noun,1.5564566295560769,NA,NA,NA
bad,predicate,1.6020087158064509,1.16585423916563,0.512446457589515,1.088252157217472
bag,noun,0.963653309714532,0.744665172635985,NA,2.633645338704113
ball,noun,1.1896469055539507,0.8716320864944116,1.2420679133753,2.0004967198517996
balloon,noun,1.312491746584675,1.597021564761386,1.2325155562118033,1.358796456579456
banana,noun,1.3273031753156834,1.390873096513348,1.129372999191357,0.8481555748876409
basket,noun,0.9178560049540344,1.077284385709517,1.1961083329380693,2.2072185611525432
bat,noun,1.1160101613725075,NA,NA,NA
bath,noun,1.054885340931401,NA,NA,NA
battery,noun,0.6014523375263287,0.5757666370445862,NA,NA
be,predicate,1.3533686521020418,NA,NA,NA
beans,noun,1.0897396121810807,0.6620448640740112,1.059474967678964,1.6727932799549594
bear,noun,2.075479546692034,1.4440619209811214,1.689765787826581,0.6555309302152215
become,predicate,2.30564992991303,NA,NA,NA
bed,noun,0.8585526064096509,1.0705510503031366,0.9233399199975862,2.1232402398806065
bee,noun,1.860612984145936,2.19351288588302,1.526504073096267,0.6525134386286238
belly button,noun,0.9753880306231242,0.7598667625738236,1.070129040685838,1.1484661002927261
belt,noun,1.0830475586290635,0.4920631358220771,0.6027555553054743,NA
bicycle,noun,1.4021902717818733,1.6449832758586047,1.3169843666995011,1.019542518157737
bird,noun,2.3951323074208326,1.4796714591479758,1.6062136152669622,0.9890876983880303
black,predicate,1.845135589474884,2.37101761574739,2.579924473503996,0.39066194801169024
blanket,noun,0.40682376286799854,0.6014417148026511,0.9417812852210669,1.9698972955347327
blocks,noun,1.3153536628027316,1.336870473043942,1.3060551824758333,NA
blow,predicate,1.7478946447697803,0.8862489433938963,1.0561001899030542,1.6407140723204072
blue,predicate,1.6418443482806373,2.581261182203769,2.6018915821027084,-0.07718872828840553
book,noun,1.079026725441725,1.3986339486814507,1.4359424394667055,0.6923215535727703
boots,noun,1.0124076930462815,NA,1.0988223884468356,1.154937965032736
bottle,noun,1.0548387855542685,0.5703460926178783,0.44751760626442944,1.771062276809757
bowl,noun,0.7096710222026245,0.7063753086243726,1.07875485518289,NA
box,noun,1.3893571732037495,0.9252201885995518,1.1030935103225934,1.8480386883393112
branch,noun,1.056356188438372,NA,NA,NA
bread,noun,1.2211468327727175,0.5266484180533574,1.2930342382261055,1.2948181163254149
break,predicate,2.02286696623314,1.1828416831127868,1.1799314130292995,1.861135247433167
breast,noun,0.24810935088034825,NA,NA,1.11084504687675
bright,predicate,1.7035405136554918,0.8385231038709324,NA,NA
bring,predicate,1.9774574262399316,0.9971297424735632,1.1234815280895925,2.3544098721117814
broom,noun,0.5150156966216459,0.5249496996321359,0.7071602377862712,2.5374569776276235
bubbles,noun,1.4002515808070235,NA,1.390456440398519,0.5390955040755272
bucket,noun,1.4051576229371987,0.45549860645543955,1.2406462111377163,NA
bug,noun,1.1379702012362838,0.8375347692100908,1.0353755206367263,0.7406117463599323
bump,predicate,2.315881583518237,0.9166421025616024,0.8945220588989272,NA
bus,noun,1.4846404984716737,1.3310165699498664,1.4362728849287716,0.46394958892088223
butter,noun,1.3603334664252795,NA,1.0631241127075646,0.6777698938716817
butterfly,noun,1.4881570409455402,2.005069012560021,2.0392420831953166,0.6443151857307339
buttocks,noun,0.7885398114023779,NA,NA,NA
button,noun,1.4141262891276396,0.8023016824615968,1.233427652891414,1.5587337927364702
buy,predicate,1.989345799240768,0.5175071450866195,0.9599666943092688,2.310596362092081
cake,noun,0.8332422468890491,1.1700928995854,1.1267756935730031,2.070024542770594
call,predicate,1.9351194490226495,NA,NA,NA
camera,noun,0.9842165737918354,0.9140745968135204,0.9059678600201116,0.96728474815849
can,noun,1.0214792725227395,NA,NA,NA
candy,noun,0.4616837130578065,-0.01718533114672138,0.2862288306681166,2.0763540696363223
car,noun,1.129960050584295,0.9706701107999942,1.3178990404487163,0.978287278473832
carrot,noun,1.9537768646044364,1.5221827868924158,1.7671286456272874,1.3504124211121158
carry,predicate,2.130793261290331,0.7252342676225992,1.3005661999440834,1.8173470175702924
