"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"5",1,2,3,4,6,9,12,17,22,28,35,43,52,61,71
"10",3,4,6,8,12,17,23,31,40,51,64,78,94,112,132
"15",4,6,9,13,18,25,34,45,58,73,90,111,133,159,188
"20",6,9,13,18,25,33,45,58,75,94,117,142,171,203,240
"25",8,12,16,23,31,42,56,72,92,115,142,173,207,246,289
"30",11,15,20,28,38,51,67,87,110,137,168,203,242,286,335
"35",13,18,25,34,45,60,79,101,128,159,194,233,277,325,378
"40",16,22,29,40,53,70,91,116,146,181,220,263,311,363,419
"45",19,25,34,46,61,80,104,132,165,203,246,293,345,400,458
"50",22,30,40,53,70,92,118,149,186,227,273,324,378,435,495
"55",26,34,46,61,80,104,133,167,207,251,301,354,411,470,528
"60",30,40,53,69,90,117,148,186,229,277,330,386,444,503,560
"65",35,46,60,79,102,131,166,206,253,304,359,417,477,535,589
"70",40,53,69,89,115,147,185,229,279,333,391,450,509,565,616
"75",46,61,79,102,131,165,207,254,307,364,424,484,542,595,640
"80",54,70,91,117,149,187,232,283,339,399,459,519,574,623,661
"85",64,83,106,135,171,213,263,317,377,438,499,556,607,649,680
"90",78,100,127,161,201,248,302,361,423,485,544,596,640,673,694
"95",102,129,162,201,248,302,361,424,487,546,599,642,674,695,706
"99",153,190,234,285,341,403,467,529,585,632,667,690,703,709,711
