"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"5",-1.88,-1.77,-1.66,-1.56,-1.45,-1.35,-1.25,-1.15,-1.06,-0.97,-0.87,-0.78,-0.69,-0.6,-0.51
"10",-1.7,-1.6,-1.49,-1.38,-1.28,-1.18,-1.08,-0.98,-0.89,-0.79,-0.7,-0.61,-0.52,-0.43,-0.33
"15",-1.59,-1.48,-1.37,-1.27,-1.16,-1.06,-0.96,-0.86,-0.77,-0.68,-0.58,-0.49,-0.4,-0.31,-0.22
"20",-1.49,-1.39,-1.28,-1.17,-1.07,-0.97,-0.87,-0.77,-0.67,-0.58,-0.49,-0.4,-0.31,-0.22,-0.12
"25",-1.41,-1.31,-1.2,-1.09,-0.99,-0.89,-0.79,-0.69,-0.6,-0.5,-0.41,-0.32,-0.23,-0.14,-0.04
"30",-1.34,-1.24,-1.13,-1.02,-0.92,-0.82,-0.72,-0.62,-0.52,-0.43,-0.34,-0.25,-0.16,-0.06,0.03
"35",-1.28,-1.17,-1.06,-0.96,-0.85,-0.75,-0.65,-0.55,-0.46,-0.36,-0.27,-0.18,-0.09,0,0.09
"40",-1.21,-1.11,-1,-0.89,-0.79,-0.69,-0.59,-0.49,-0.39,-0.3,-0.21,-0.12,-0.03,0.07,0.16
"45",-1.15,-1.05,-0.94,-0.83,-0.73,-0.62,-0.52,-0.43,-0.33,-0.24,-0.15,-0.06,0.04,0.13,0.22
"50",-1.09,-0.99,-0.88,-0.77,-0.67,-0.56,-0.46,-0.37,-0.27,-0.18,-0.09,0,0.1,0.19,0.28
"55",-1.03,-0.93,-0.82,-0.71,-0.61,-0.5,-0.4,-0.31,-0.21,-0.12,-0.03,0.06,0.16,0.25,0.34
"60",-0.97,-0.86,-0.76,-0.65,-0.55,-0.44,-0.34,-0.25,-0.15,-0.06,0.03,0.12,0.22,0.31,0.4
"65",-0.91,-0.8,-0.69,-0.59,-0.48,-0.38,-0.28,-0.18,-0.09,0,0.1,0.19,0.28,0.37,0.46
"70",-0.84,-0.73,-0.63,-0.52,-0.42,-0.31,-0.21,-0.12,-0.02,0.07,0.16,0.25,0.35,0.44,0.53
"75",-0.77,-0.66,-0.56,-0.45,-0.35,-0.24,-0.14,-0.05,0.05,0.14,0.23,0.33,0.42,0.51,0.6
"80",-0.69,-0.58,-0.48,-0.37,-0.27,-0.16,-0.06,0.03,0.13,0.22,0.31,0.41,0.5,0.59,0.68
"85",-0.6,-0.49,-0.38,-0.28,-0.17,-0.07,0.03,0.13,0.22,0.32,0.41,0.5,0.59,0.68,0.77
"90",-0.48,-0.37,-0.27,-0.16,-0.06,0.05,0.15,0.24,0.34,0.43,0.52,0.62,0.71,0.8,0.89
"95",-0.31,-0.2,-0.09,0.01,0.12,0.22,0.32,0.42,0.51,0.61,0.7,0.79,0.88,0.97,1.07
"99",0.02,0.13,0.23,0.34,0.44,0.55,0.65,0.74,0.84,0.93,1.02,1.12,1.21,1.3,1.39
