"","V1","V2","V3","V4","V5","V6","V7"
"age",12,13,14,15,16,17,18
"5",0,0,0,0,1,1,3
"10",0,0,0,1,2,3,6
"15",0,0,1,1,3,5,10
"20",0,1,1,2,4,7,13
"25",0,1,1,3,5,9,17
"30",1,1,2,3,6,12,22
"35",1,1,2,4,8,14,26
"40",1,2,3,5,10,17,31
"45",1,2,4,6,11,21,37
"50",1,2,4,7,13,24,43
"55",2,3,5,9,16,28,50
"60",2,3,6,10,18,32,57
"65",2,4,7,12,21,37,65
"70",3,4,8,14,25,43,74
"75",3,5,9,16,29,50,85
"80",4,6,11,19,33,58,99
"85",4,7,13,23,40,68,115
"90",5,9,16,28,49,83,138
"95",7,12,22,37,64,107,175
"99",11,20,34,58,98,160,252
