"","V1","V2","V3","V4","V5","V6","V7"
"age",12,13,14,15,16,17,18
"5",-2.74,-2.58,-2.43,-2.27,-2.12,-1.97,-1.83
"10",-2.59,-2.42,-2.26,-2.09,-1.93,-1.77,-1.62
"15",-2.49,-2.32,-2.14,-1.97,-1.81,-1.64,-1.48
"20",-2.41,-2.23,-2.05,-1.88,-1.7,-1.53,-1.36
"25",-2.34,-2.16,-1.98,-1.79,-1.62,-1.44,-1.27
"30",-2.28,-2.09,-1.91,-1.72,-1.54,-1.36,-1.18
"35",-2.23,-2.03,-1.84,-1.65,-1.46,-1.28,-1.1
"40",-2.17,-1.98,-1.78,-1.59,-1.4,-1.21,-1.02
"45",-2.12,-1.92,-1.72,-1.52,-1.33,-1.14,-0.95
"50",-2.07,-1.87,-1.66,-1.46,-1.26,-1.07,-0.88
"55",-2.02,-1.81,-1.6,-1.4,-1.2,-1,-0.81
"60",-1.97,-1.76,-1.54,-1.34,-1.13,-0.93,-0.73
"65",-1.91,-1.7,-1.48,-1.27,-1.06,-0.86,-0.66
"70",-1.86,-1.64,-1.42,-1.2,-0.99,-0.78,-0.58
"75",-1.8,-1.57,-1.35,-1.13,-0.91,-0.7,-0.49
"80",-1.73,-1.5,-1.27,-1.04,-0.82,-0.61,-0.39
"85",-1.65,-1.42,-1.18,-0.95,-0.72,-0.5,-0.28
"90",-1.55,-1.31,-1.07,-0.83,-0.59,-0.37,-0.14
"95",-1.4,-1.15,-0.9,-0.65,-0.4,-0.17,0.07
"99",-1.13,-0.86,-0.58,-0.31,-0.05,0.21,0.46
