"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"5",1,2,4,6,9,14,19,26,35,45,55,67,79,91,104
"10",3,5,8,12,17,25,34,45,59,75,93,112,133,156,181
"15",5,8,12,18,25,35,48,63,81,102,126,152,181,212,247
"20",8,11,17,24,33,46,61,80,102,128,157,189,224,263,306
"25",10,15,21,30,42,56,75,97,123,153,187,224,265,309,359
"30",13,19,26,37,50,67,89,114,144,178,216,257,303,353,407
"35",16,23,32,44,59,79,103,131,164,202,244,290,340,393,450
"40",20,27,38,51,69,90,117,149,185,226,272,322,375,431,490
"45",24,32,44,59,79,103,132,167,206,251,300,353,409,467,526
"50",28,38,51,68,89,116,148,185,228,276,328,384,442,500,558
"55",33,44,58,77,101,130,165,205,251,302,357,414,473,532,587
"60",38,50,67,87,113,145,182,226,275,328,385,444,504,561,613
"65",44,58,76,99,127,161,202,248,300,356,415,475,533,588,636
"70",51,66,86,112,142,179,223,272,327,385,445,505,562,613,655
"75",59,77,99,126,160,200,246,299,356,416,476,536,590,637,672
"80",69,89,113,144,181,224,273,328,388,449,510,567,617,657,686
"85",82,104,132,166,206,253,306,363,424,486,545,598,643,676,697
"90",99,125,157,195,239,290,346,407,469,529,584,631,667,692,704
"95",129,160,197,241,291,347,406,468,528,584,631,667,691,704,709
"99",193,233,280,332,389,449,509,566,615,655,683,700,708,710,711
