"","V1","V2","V3","V4","V5","V6","V7"
"age",12,13,14,15,16,17,18
"5",0,0,0,0,1,1,2
"10",0,0,0,1,1,2,3
"15",0,1,1,2,2,4,5
"20",1,1,2,2,4,5,7
"25",1,2,2,4,5,7,10
"30",1,2,3,5,7,9,12
"35",2,3,5,6,9,11,14
"40",3,4,6,8,11,14,17
"45",4,6,8,10,13,16,20
"50",6,7,10,12,15,19,23
"55",7,9,12,15,18,22,27
"60",9,12,14,18,22,26,31
"65",12,14,18,21,25,30,35
"70",15,18,21,25,30,35,41
"75",18,22,26,30,35,41,47
"80",23,27,32,36,42,47,54
"85",30,34,39,44,50,56,63
"90",40,45,50,56,62,69,76
"95",58,63,69,75,82,90,98
"99",100,106,113,120,128,137,146
