"","V1","V2","V3","V4","V5","V6","V7"
"age",12,13,14,15,16,17,18
"5",0,0,0,0,1,1,2
"10",0,0,0,1,1,2,4
"15",0,0,1,1,2,4,7
"20",0,1,1,2,4,6,10
"25",1,1,2,3,5,8,13
"30",1,2,3,4,7,10,16
"35",1,2,3,5,8,13,19
"40",2,3,4,7,10,16,23
"45",2,4,6,9,13,19,27
"50",3,5,7,10,15,22,31
"55",4,6,9,12,18,26,36
"60",5,7,10,15,21,30,42
"65",6,9,13,18,25,35,48
"70",8,11,15,21,29,40,55
"75",9,13,18,25,35,47,64
"80",12,16,22,30,41,55,74
"85",15,20,27,37,49,66,87
"90",20,26,35,46,61,80,105
"95",28,37,48,63,81,105,134
"99",49,62,79,100,126,159,198
