"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"5",1,2,2,3,5,7,9,13,17,23,29,37,47,57,68
"10",2,3,5,7,10,13,18,24,32,42,53,68,84,103,124
"15",4,6,8,11,14,20,26,35,46,60,76,96,119,146,176
"20",6,8,11,15,20,26,35,46,60,78,99,124,153,186,224
"25",8,10,14,19,25,33,44,58,75,96,121,151,186,225,270
"30",10,13,17,23,31,41,54,70,90,114,144,178,218,263,313
"35",12,16,21,28,37,49,64,82,105,133,166,205,250,300,355
"40",14,19,25,33,43,57,74,95,121,153,190,233,281,335,395
"45",17,22,29,38,50,66,85,109,138,173,213,260,313,370,432
"50",19,26,34,44,58,75,97,123,156,194,238,288,344,405,468
"55",23,30,39,51,66,86,110,139,174,216,263,317,376,438,503
"60",26,34,45,58,75,97,123,156,194,239,290,347,408,472,535
"65",30,39,51,66,85,109,139,174,216,264,318,377,440,504,566
"70",35,45,59,76,97,123,156,194,239,291,348,409,473,536,594
"75",40,52,67,86,110,139,175,217,265,320,380,443,506,567,621
"80",47,61,78,99,126,158,197,243,295,353,415,479,541,598,645
"85",56,72,91,116,146,182,225,275,331,391,455,517,577,628,667
"90",68,86,109,138,172,214,261,316,375,438,501,561,614,657,686
"95",88,111,140,174,215,263,317,377,439,502,562,614,656,685,702
"99",133,166,204,250,301,359,421,484,544,598,643,676,696,706,710
