"","V1","V2","V3","V4","V5","V6","V7"
"age",12,13,14,15,16,17,18
"5",-2.75,-2.61,-2.47,-2.33,-2.19,-2.05,-1.92
"10",-2.61,-2.46,-2.3,-2.15,-2,-1.85,-1.71
"15",-2.52,-2.36,-2.19,-2.04,-1.88,-1.72,-1.57
"20",-2.44,-2.28,-2.11,-1.94,-1.78,-1.61,-1.45
"25",-2.38,-2.21,-2.03,-1.86,-1.69,-1.52,-1.36
"30",-2.32,-2.14,-1.97,-1.79,-1.61,-1.44,-1.27
"35",-2.27,-2.09,-1.9,-1.72,-1.54,-1.36,-1.19
"40",-2.22,-2.03,-1.85,-1.66,-1.47,-1.29,-1.11
"45",-2.17,-1.98,-1.79,-1.6,-1.41,-1.22,-1.04
"50",-2.12,-1.93,-1.73,-1.54,-1.34,-1.15,-0.96
"55",-2.08,-1.88,-1.68,-1.48,-1.28,-1.08,-0.89
"60",-2.03,-1.82,-1.62,-1.42,-1.21,-1.01,-0.81
"65",-1.98,-1.77,-1.56,-1.35,-1.15,-0.94,-0.74
"70",-1.92,-1.71,-1.5,-1.29,-1.08,-0.87,-0.66
"75",-1.87,-1.65,-1.43,-1.21,-1,-0.78,-0.57
"80",-1.8,-1.58,-1.36,-1.13,-0.91,-0.69,-0.47
"85",-1.73,-1.5,-1.27,-1.04,-0.81,-0.59,-0.36
"90",-1.64,-1.4,-1.16,-0.92,-0.69,-0.45,-0.22
"95",-1.5,-1.25,-1,-0.75,-0.5,-0.25,0
"99",-1.24,-0.97,-0.7,-0.42,-0.15,0.12,0.39
