"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
"5",-1.62,-1.5,-1.39,-1.27,-1.16,-1.05,-0.94,-0.84,-0.75,-0.66,-0.59,-0.51,-0.45,-0.39,-0.32,-0.27,-0.21,-0.16,-0.1,-0.05,0,0.05,0.1
"10",-1.47,-1.36,-1.24,-1.13,-1.01,-0.9,-0.8,-0.7,-0.61,-0.52,-0.44,-0.37,-0.3,-0.24,-0.18,-0.12,-0.07,-0.01,0.04,0.09,0.14,0.19,0.24
"15",-1.38,-1.26,-1.15,-1.03,-0.92,-0.81,-0.7,-0.6,-0.51,-0.42,-0.35,-0.28,-0.21,-0.15,-0.08,-0.03,0.03,0.08,0.14,0.19,0.24,0.29,0.34
"20",-1.3,-1.18,-1.07,-0.95,-0.84,-0.73,-0.63,-0.53,-0.43,-0.35,-0.27,-0.2,-0.13,-0.07,-0.01,0.05,0.11,0.16,0.21,0.27,0.32,0.36,0.41
"25",-1.23,-1.12,-1,-0.89,-0.78,-0.66,-0.56,-0.46,-0.37,-0.28,-0.2,-0.13,-0.07,0,0.06,0.12,0.17,0.23,0.28,0.33,0.38,0.43,0.48
"30",-1.18,-1.06,-0.94,-0.83,-0.72,-0.61,-0.5,-0.4,-0.31,-0.22,-0.14,-0.07,-0.01,0.06,0.12,0.18,0.23,0.29,0.34,0.39,0.44,0.49,0.54
"35",-1.12,-1.01,-0.89,-0.77,-0.66,-0.55,-0.45,-0.35,-0.25,-0.17,-0.09,-0.02,0.05,0.11,0.17,0.23,0.29,0.34,0.39,0.45,0.5,0.54,0.59
"40",-1.07,-0.95,-0.84,-0.72,-0.61,-0.5,-0.39,-0.29,-0.2,-0.12,-0.04,0.03,0.1,0.16,0.22,0.28,0.34,0.39,0.45,0.5,0.55,0.6,0.65
"45",-1.02,-0.9,-0.79,-0.67,-0.56,-0.45,-0.34,-0.24,-0.15,-0.07,0.01,0.08,0.15,0.21,0.27,0.33,0.39,0.44,0.5,0.55,0.6,0.65,0.7
"50",-0.97,-0.85,-0.74,-0.62,-0.51,-0.4,-0.29,-0.19,-0.1,-0.02,0.06,0.13,0.2,0.26,0.32,0.38,0.44,0.49,0.55,0.6,0.65,0.7,0.75
"55",-0.92,-0.8,-0.69,-0.57,-0.46,-0.35,-0.24,-0.14,-0.05,0.03,0.11,0.18,0.25,0.31,0.37,0.43,0.49,0.54,0.6,0.65,0.7,0.75,0.8
"60",-0.87,-0.75,-0.64,-0.52,-0.41,-0.3,-0.19,-0.09,0,0.08,0.16,0.23,0.3,0.36,0.42,0.48,0.54,0.59,0.65,0.7,0.75,0.8,0.85
"65",-0.82,-0.7,-0.59,-0.47,-0.36,-0.25,-0.14,-0.04,0.05,0.14,0.21,0.29,0.35,0.42,0.48,0.53,0.59,0.65,0.7,0.75,0.8,0.85,0.9
"70",-0.76,-0.65,-0.53,-0.42,-0.3,-0.19,-0.09,0.01,0.11,0.19,0.27,0.34,0.41,0.47,0.53,0.59,0.65,0.7,0.75,0.8,0.85,0.9,0.95
"75",-0.7,-0.59,-0.47,-0.36,-0.24,-0.13,-0.03,0.07,0.16,0.25,0.33,0.4,0.47,0.53,0.59,0.65,0.7,0.76,0.81,0.86,0.91,0.96,1.01
"80",-0.64,-0.52,-0.41,-0.29,-0.18,-0.07,0.04,0.14,0.23,0.32,0.39,0.47,0.53,0.59,0.66,0.71,0.77,0.82,0.88,0.93,0.98,1.03,1.08
"85",-0.56,-0.45,-0.33,-0.21,-0.1,0.01,0.12,0.21,0.31,0.39,0.47,0.54,0.61,0.67,0.73,0.79,0.85,0.9,0.95,1.01,1.06,1.11,1.15
"90",-0.46,-0.35,-0.23,-0.12,0,0.11,0.21,0.31,0.4,0.49,0.57,0.64,0.71,0.77,0.83,0.89,0.94,1,1.05,1.1,1.15,1.2,1.25
"95",-0.32,-0.21,-0.09,0.03,0.14,0.25,0.35,0.45,0.55,0.63,0.71,0.78,0.85,0.91,0.97,1.03,1.09,1.14,1.19,1.25,1.3,1.34,1.39
"99",-0.05,0.06,0.18,0.29,0.41,0.52,0.62,0.72,0.82,0.9,0.98,1.05,1.12,1.18,1.24,1.3,1.36,1.41,1.46,1.51,1.56,1.61,1.66
