item_id,category,english_gloss,uni_lemma,lexical_class,pos2
item_1,sounds,baa baa,baa baa,other,other
item_2,sounds,choo choo,choo choo,other,other
item_3,sounds,cockadoodledoo,cockadoodledoo,other,other
item_4,sounds,grrr,grrr,other,other
item_5,sounds,meow,meow,other,other
item_6,sounds,moo,moo,other,other
item_7,sounds,ouch,ouch,other,other
item_8,sounds,quack quack,quack quack,other,other
item_9,sounds,uh oh,uh oh,other,other
item_10,sounds,vroom,vroom,other,other
item_11,sounds,woof woof,woof woof,other,other
item_12,sounds,yum yum,yum yum,other,other
item_13,animals,alligator,alligator,noun,noun
item_14,animals,animal,animal,noun,noun
item_15,animals,ant,ant,noun,noun
item_16,animals,bear,bear,noun,noun
item_17,animals,bee,bee,noun,noun
item_18,animals,bird,bird,noun,noun
item_19,animals,bug,bug,noun,noun
item_20,animals,bunny,bunny,noun,noun
item_21,animals,butterfly,butterfly,noun,noun
item_22,animals,cat,cat,noun,noun
item_23,animals,chicken (animal),chicken (animal),noun,noun
item_24,animals,cow,cow,noun,noun
item_25,animals,deer,deer,noun,noun
item_26,animals,dog,dog,noun,noun
item_27,animals,donkey,donkey,noun,noun
item_28,animals,duck,duck,noun,noun
item_29,animals,elephant,elephant,noun,noun
item_30,animals,fish (animal),fish (animal),noun,noun
item_31,animals,frog,frog,noun,noun
item_32,animals,giraffe,giraffe,noun,noun
item_33,animals,goose,goose,noun,noun
item_34,animals,hen,hen,noun,noun
item_35,animals,horse,horse,noun,noun
item_36,animals,kitty,kitty,noun,noun
item_37,animals,lamb,lamb,noun,noun
item_38,animals,lion,lion,noun,noun
item_39,animals,monkey,monkey,noun,noun
item_40,animals,moose,moose,noun,noun
item_41,animals,mouse,mouse,noun,noun
item_42,animals,owl,owl,noun,noun
item_43,animals,penguin,penguin,noun,noun
item_44,animals,pig,pig,noun,noun
item_45,animals,pony,pony,noun,noun
item_46,animals,puppy,puppy,noun,noun
item_47,animals,rooster,rooster,noun,noun
item_48,animals,sheep,sheep,noun,noun
item_49,animals,squirrel,squirrel,noun,noun
item_50,animals,teddybear,teddybear,noun,noun
item_51,animals,tiger,tiger,noun,noun
item_52,animals,turkey,turkey,noun,noun
item_53,animals,turtle,turtle,noun,noun
item_54,animals,wolf,wolf,noun,noun
item_55,animals,zebra,zebra,noun,noun
item_56,vehicles,airplane,airplane,noun,noun
item_57,vehicles,bicycle,bicycle,noun,noun
item_58,vehicles,boat,boat,noun,noun
item_59,vehicles,bus,bus,noun,noun
item_60,vehicles,car,car,noun,noun
item_61,vehicles,firetruck,firetruck,noun,noun
item_62,vehicles,helicopter,helicopter,noun,noun
item_63,vehicles,motorcycle,motorcycle,noun,noun
item_64,vehicles,sled,sled,noun,noun
item_65,vehicles,stroller,stroller,noun,noun
item_66,vehicles,tractor,tractor,noun,noun
item_67,vehicles,train,train,noun,noun
item_68,vehicles,tricycle,tricycle,noun,noun
item_69,vehicles,truck,truck,noun,noun
item_70,toys,ball,ball,noun,noun
item_71,toys,balloon,balloon,noun,noun
item_72,toys,bat,bat (object),noun,noun
item_73,toys,block,blocks,noun,noun
item_74,toys,book,book,noun,noun
item_75,toys,bubbles,bubbles,noun,noun
item_76,toys,chalk,chalk,noun,noun
item_77,toys,crayon,crayon,noun,noun
item_78,toys,doll,doll,noun,noun
item_79,toys,game,game,noun,noun
item_80,toys,glue,glue (object),noun,noun
item_81,toys,pen,pen,noun,noun
item_82,toys,pencil,pencil,noun,noun
item_83,toys,play dough,play dough,noun,noun
item_84,toys,present,present,noun,noun
item_85,toys,puzzle,puzzle,noun,noun
item_86,toys,story,story,noun,noun
item_87,toys,toy (object),toy (object),noun,noun
item_88,food_drink,apple,apple,noun,noun
item_89,food_drink,applesauce,applesauce,noun,noun
item_90,food_drink,banana,banana,noun,noun
item_91,food_drink,beans,beans,noun,noun
item_92,food_drink,bread,bread,noun,noun
item_93,food_drink,butter,butter,noun,noun
item_94,food_drink,cake,cake,noun,noun
item_95,food_drink,candy,candy,noun,noun
item_96,food_drink,carrots,carrot,noun,noun
item_97,food_drink,cereal,cereal,noun,noun
item_98,food_drink,cheerios,cheerios,noun,noun
item_99,food_drink,cheese,cheese,noun,noun
item_100,food_drink,chicken (food),chicken (food),noun,noun
item_101,food_drink,chocolate,chocolate,noun,noun
item_102,food_drink,coffee,coffee,noun,noun
item_103,food_drink,coke,coke,noun,noun
item_104,food_drink,cookie,cookie,noun,noun
item_105,food_drink,corn,corn,noun,noun
item_106,food_drink,cracker,cracker,noun,noun
item_107,food_drink,donut,pastry,noun,noun
item_108,food_drink,drink (beverage),drink (beverage),noun,noun
item_109,food_drink,egg,egg,noun,noun
item_110,food_drink,fish (food),fish (food),noun,noun
item_111,food_drink,food,food,noun,noun
item_112,food_drink,french fries,french fries,noun,noun
item_113,food_drink,grapes,grapes,noun,noun
item_114,food_drink,green beans,green beans,noun,noun
item_115,food_drink,gum,gum,noun,noun
item_116,food_drink,hamburger,hamburger,noun,noun
item_117,food_drink,ice,ice,noun,noun
item_118,food_drink,ice cream,ice cream,noun,noun
item_119,food_drink,jello,jello,noun,noun
item_120,food_drink,jelly,jelly,noun,noun
item_121,food_drink,juice,juice,noun,noun
item_122,food_drink,lollipop,lollipop,noun,noun
item_123,food_drink,meat,meat,noun,noun
item_124,food_drink,melon,melon,noun,noun
item_125,food_drink,milk,milk,noun,noun
item_126,food_drink,muffin,muffin,noun,noun
item_127,food_drink,noodles,pasta,noun,noun
item_128,food_drink,nuts,nut,noun,noun
item_129,food_drink,orange (food),orange (food),noun,noun
item_130,food_drink,pancake,pancake,noun,noun
item_131,food_drink,peas,peas,noun,noun
item_132,food_drink,peanut butter,peanut butter,noun,noun
item_133,food_drink,pickle,pickle,noun,noun
item_134,food_drink,pizza,pizza,noun,noun
item_135,food_drink,popcorn,popcorn,noun,noun
item_136,food_drink,popsicle,popsicle,noun,noun
item_137,food_drink,potato chip,chips,noun,noun
item_138,food_drink,potato,potato,noun,noun
item_139,food_drink,pretzel,pretzel,noun,noun
item_140,food_drink,pudding,pudding,noun,noun
item_141,food_drink,pumpkin,pumpkin,noun,noun
item_142,food_drink,raisin,raisin,noun,noun
item_143,food_drink,salt,salt,noun,noun
item_144,food_drink,sandwich,sandwich,noun,noun
item_145,food_drink,sauce,sauce,noun,noun
item_146,food_drink,soda/pop,soda,noun,noun
item_147,food_drink,soup,soup,noun,noun
item_148,food_drink,spaghetti,pasta,noun,noun
item_149,food_drink,strawberry,strawberry,noun,noun
item_150,food_drink,toast,toast,noun,noun
item_151,food_drink,tuna,tuna,noun,noun
item_152,food_drink,vanilla,vanilla,noun,noun
item_153,food_drink,vitamins,vitamin,noun,noun
item_154,food_drink,water (beverage),water (beverage),noun,noun
item_155,food_drink,yogurt,yogurt,noun,noun
item_156,clothing,beads,beads,noun,noun
item_157,clothing,belt,belt,noun,noun
item_158,clothing,bib,bib,noun,noun
item_159,clothing,boots,boots,noun,noun
item_160,clothing,button,button,noun,noun
item_161,clothing,coat,coat,noun,noun
item_162,clothing,diaper,diaper,noun,noun
item_163,clothing,dress (object),dress (object),noun,noun
item_164,clothing,gloves,glove,noun,noun
item_165,clothing,hat,hat,noun,noun
item_166,clothing,jacket,jacket,noun,noun
item_167,clothing,jeans,jeans,noun,noun
item_168,clothing,mittens,mitten,noun,noun
item_169,clothing,necklace,necklace,noun,noun
item_170,clothing,pajamas,pajamas,noun,noun
item_171,clothing,pants,pants,noun,noun
item_172,clothing,scarf,scarf,noun,noun
item_173,clothing,shirt,shirt,noun,noun
item_174,clothing,shoe,shoe,noun,noun
item_175,clothing,shorts,shorts,noun,noun
item_176,clothing,slipper,slipper,noun,noun
item_177,clothing,sneaker,sneaker,noun,noun
item_178,clothing,snowsuit,snowsuit,noun,noun
item_179,clothing,sock,sock,noun,noun
item_180,clothing,sweater,sweater,noun,noun
item_181,clothing,tights,tights,noun,noun
item_182,clothing,underpants,underpants,noun,noun
item_183,clothing,zipper,zipper,noun,noun
item_184,body_parts,ankle,ankle,noun,noun
item_185,body_parts,arm,arm,noun,noun
item_186,body_parts,belly button,belly button,noun,noun
item_187,body_parts,buttocks/bottom*,butt,noun,noun
item_188,body_parts,cheek,cheek,noun,noun
item_189,body_parts,chin,chin,noun,noun
item_190,body_parts,ear,ear,noun,noun
item_191,body_parts,eye,eye,noun,noun
item_192,body_parts,face,face,noun,noun
item_193,body_parts,finger,finger,noun,noun
item_194,body_parts,foot,foot,noun,noun
