criteria,max_items,mean_n_items,mean_SE_G,mean_SE_S1,mean_SE_S2,r_bias_vs_full,r_G_vs_full,n_items_never_used
Drule,50,37.3427385892116,0.213124732975404,0.5221896826406729,0.5682009218621243,0.7553623483399259,0.9806007700707896,291
Drule,100,55.96680497925314,0.20449194591569944,0.5052494048877153,0.550186137895177,0.7974046097268837,0.9829122973260735,177
Drule,200,84.98008298755191,0.20124189377445864,0.498490619104157,0.5427812593268215,0.8173280482067523,0.9837174557142866,66
Drule (min_items=150 forced),200,192.49,0.1386,0.3872,0.4455,0.9676,0.996,NA
