item_id,category,english_gloss,uni_lemma,lexical_class,pos2
item_1,sounds,NA,boom,other,other
item_2,sounds,hi / hey,hi,other,other
item_3,sounds,NA,uh oh,other,other
item_4,sounds,NA,yum yum,other,other
item_5,sounds,NA,beep beep,other,other
item_6,sounds,NA,wee woo,other,other
item_7,sounds,NA,bang bang,other,other
item_8,sounds,NA,woof woof,other,other
item_9,sounds,NA,meow,other,other
item_10,sounds,NA,baa baa,other,other
item_11,sounds,NA,quack quack,other,other
item_12,sounds,NA,tweet tweet,other,other
item_13,sounds,NA,cluck,other,other
item_14,people,NA,mommy,other,other
item_15,people,NA,daddy,other,other
item_16,people,grandma / maternal grandma,grandma,other,other
item_17,people,grandma / paternal grandma,grandma,other,other
item_18,people,grandpa / maternal grandpa,grandpa,other,other
item_19,people,grandpa / paternal grandpa,grandpa,other,other
item_20,people,sister / older sister,sister,other,other
item_21,people,sister / younger sister,sister,other,other
item_22,people,brother / older brother,brother,other,other
item_23,people,brother / younger brother,brother,other,other
item_24,people,NA,aunt,other,other
item_25,people,NA,uncle,other,other
item_26,people,NA,uncle,other,other
item_27,people,NA,aunt,other,other
item_28,people,aunt / father's older sister,aunt,other,other
item_29,people,aunt / father's younger sister,aunt,other,other
item_30,people,uncle / father's sister's husband,uncle,other,other
item_31,people,uncle / mother's brother,uncle,other,other
item_32,people,aunt / mother's brother's wife,aunt,other,other
item_33,people,aunt / mother's older sister,aunt,other,other
item_34,people,uncle / mother's sister's husband,uncle,other,other
item_35,people,NA,child's own name,other,other
item_36,people,NA,baby,other,other
item_37,people,NA,babysitter's name,other,other
item_38,people,NA,friends' names,other,other
item_39,people,NA,child,other,other
item_40,people,NA,boy,other,other
item_41,people,NA,girl,other,other
item_42,people,NA,driver,other,other
item_43,people,NA,doctor,other,other
item_44,people,NA,nurse,other,other
item_45,people,NA,teacher,other,other
item_46,people,NA,police,other,other
item_47,people,NA,firefighter,other,other
item_48,people,NA,NA,other,other
item_49,people,NA,NA,other,other
item_50,people,NA,NA,other,other
item_51,people,NA,NA,other,other
item_52,people,NA,person,other,other
item_53,food_drink,NA,water (beverage),noun,noun
item_54,food_drink,NA,milk,noun,noun
item_55,food_drink,NA,soup,noun,noun
item_56,food_drink,NA,juice,noun,noun
item_57,food_drink,NA,tea,noun,noun
item_58,food_drink,NA,soda,noun,noun
item_59,food_drink,NA,coke,noun,noun
item_60,food_drink,NA,food,noun,noun
item_61,food_drink,NA,egg,noun,noun
item_62,food_drink,NA,rice,noun,noun
item_63,food_drink,NA,rice,noun,noun
item_64,food_drink,NA,NA,noun,noun
item_65,food_drink,NA,noodles,noun,noun
item_66,food_drink,NA,macaroni,noun,noun
item_67,food_drink,NA,spaghetti,noun,noun
item_68,food_drink,NA,NA,noun,noun
item_69,food_drink,NA,NA,noun,noun
item_70,food_drink,NA,dumpling,noun,noun
item_71,food_drink,siu mai / dumpling,NA,noun,noun
item_72,food_drink,NA,bread,noun,noun
item_73,food_drink,NA,bun,noun,noun
item_74,food_drink,NA,hamburger,noun,noun
item_75,food_drink,NA,biscuit,noun,noun
item_76,food_drink,NA,cake,noun,noun
item_77,food_drink,NA,french fries,noun,noun
item_78,food_drink,NA,chips,noun,noun
item_79,food_drink,NA,meat,noun,noun
item_80,food_drink,NA,chicken (food),noun,noun
item_81,food_drink,NA,pork,noun,noun
item_82,food_drink,NA,beef,noun,noun
item_83,food_drink,NA,fish (food),noun,noun
item_84,food_drink,shrimp,shrimp,noun,noun
item_85,food_drink,crab,crab,noun,noun
item_86,food_drink,fish balls,NA,noun,noun
item_87,food_drink,chicken wing / chicken (food),chicken (food),noun,noun
item_88,food_drink,chicken thigh / chicken (food),chicken (food),noun,noun
item_89,food_drink,NA,sausage,noun,noun
item_90,food_drink,NA,ham,noun,noun
