item_id,category,english_gloss,uni_lemma,lexical_class,pos2
item_1,sounds,choo choo,choo choo,other,other
item_2,sounds,cockadoodledoo,cockadoodledoo,other,other
item_3,sounds,bang,bang bang,other,other
item_4,sounds,honk honk,honk honk,other,other
item_5,sounds,tweet tweet,tweet tweet,other,other
item_6,sounds,moo,moo,other,other
item_7,sounds,meow,meow,other,other
item_8,sounds,woof woof,woof woof,other,other
item_9,sounds,quack quack,quack quack,other,other
item_10,sounds,baa baa,baa baa,other,other
item_11,sounds,yum yum,yum yum,other,other
item_12,sounds,ouch,ouch,other,other
item_13,animals,viper,snake,noun,noun
item_14,animals,deer,deer,noun,noun
item_15,animals,cow,cow,noun,noun
item_16,animals,turtle,turtle,noun,noun
item_17,animals,tiger,tiger,noun,noun
item_18,animals,mouse,mouse,noun,noun
item_19,animals,frog,frog,noun,noun
item_20,animals,pig,pig,noun,noun
item_21,animals,chick,chick,noun,noun
item_22,animals,penguin,penguin,noun,noun
item_23,animals,fish,fish (animal),noun,noun
item_24,animals,dog,dog,noun,noun
item_25,animals,duck,duck,noun,noun
item_26,animals,bird,bird,noun,noun
item_27,animals,bear,bear,noun,noun
item_28,animals,mosquito,mosquito,noun,noun
item_29,animals,fly,fly (animal),noun,noun
item_30,animals,monkey,monkey,noun,noun
item_31,animals,butterfly,butterfly,noun,noun
item_32,animals,wolf,wolf,noun,noun
item_33,animals,lion,lion,noun,noun
item_34,animals,giraffe,giraffe,noun,noun
item_35,animals,ant,ant,noun,noun
item_36,animals,hippotmo,hippopotamus,noun,noun
item_37,animals,turkey,turkey,noun,noun
item_38,animals,cat,cat,noun,noun
item_39,animals,goose,goose,noun,noun
item_40,animals,hen,hen,noun,noun
item_41,animals,seal,seal (animal),noun,noun
item_42,animals,elephant,elephant,noun,noun
item_43,animals,rabbit,bunny,noun,noun
item_44,animals,crocodile,crocodile,noun,noun
item_45,animals,zebra,zebra,noun,noun
item_46,animals,horse,horse,noun,noun
item_47,animals,donkey,donkey,noun,noun
item_48,animals,owl,owl,noun,noun
item_49,animals,ox,ox,noun,noun
item_50,animals,lamb,lamb,noun,noun
item_51,animals,bug,bug,noun,noun
item_52,animals,squirrel,squirrel,noun,noun
item_53,animals,spider,spider,noun,noun
item_54,animals,animal,animal,noun,noun
item_55,animals,bee,bee,noun,noun
