"","V1","V2","V3","V4","V5","V6","V7"
"age",12,13,14,15,16,17,18
"5",0,0,0,0,0,1,1
"10",0,0,0,1,1,2,3
"15",0,0,1,1,2,3,6
"20",0,1,1,2,3,5,9
"25",1,1,2,3,4,7,13
"30",1,1,2,3,6,10,17
"35",1,2,3,4,7,13,22
"40",1,2,3,5,9,16,27
"45",1,2,4,6,11,19,33
"50",2,3,5,8,13,23,39
"55",2,3,5,9,16,27,47
"60",2,4,6,11,19,32,55
"65",3,4,8,13,22,38,64
"70",3,5,9,15,26,45,75
"75",4,6,10,18,31,52,87
"80",4,7,12,21,37,62,102
"85",5,9,15,26,44,74,121
"90",6,11,19,32,55,91,147
"95",8,14,25,43,72,118,186
"99",13,23,40,68,111,176,261
