"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
"5",-1.77,-1.66,-1.56,-1.46,-1.36,-1.26,-1.17,-1.08,-0.99,-0.91,-0.83,-0.76,-0.69,-0.62,-0.56,-0.51,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15
"10",-1.61,-1.5,-1.4,-1.3,-1.2,-1.1,-1.01,-0.92,-0.83,-0.75,-0.67,-0.6,-0.53,-0.46,-0.4,-0.35,-0.29,-0.24,-0.19,-0.14,-0.09,-0.04,0.01
"15",-1.5,-1.4,-1.3,-1.19,-1.09,-1,-0.9,-0.81,-0.72,-0.64,-0.56,-0.49,-0.42,-0.36,-0.3,-0.24,-0.19,-0.13,-0.08,-0.03,0.02,0.07,0.12
"20",-1.41,-1.31,-1.21,-1.11,-1.01,-0.91,-0.82,-0.72,-0.64,-0.55,-0.48,-0.4,-0.33,-0.27,-0.21,-0.15,-0.1,-0.05,0,0.05,0.1,0.15,0.2
"25",-1.34,-1.24,-1.14,-1.04,-0.94,-0.84,-0.74,-0.65,-0.56,-0.48,-0.4,-0.33,-0.26,-0.2,-0.14,-0.08,-0.03,0.02,0.07,0.12,0.17,0.23,0.28
"30",-1.27,-1.17,-1.07,-0.97,-0.87,-0.77,-0.68,-0.58,-0.5,-0.42,-0.34,-0.26,-0.2,-0.13,-0.07,-0.01,0.04,0.09,0.14,0.19,0.24,0.29,0.34
"35",-1.21,-1.11,-1.01,-0.91,-0.81,-0.71,-0.62,-0.52,-0.44,-0.35,-0.28,-0.2,-0.13,-0.07,-0.01,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
"40",-1.16,-1.05,-0.95,-0.85,-0.75,-0.65,-0.56,-0.47,-0.38,-0.3,-0.22,-0.15,-0.08,-0.01,0.05,0.1,0.16,0.21,0.26,0.31,0.36,0.41,0.46
"45",-1.1,-1,-0.9,-0.79,-0.69,-0.6,-0.5,-0.41,-0.32,-0.24,-0.16,-0.09,-0.02,0.04,0.1,0.16,0.21,0.27,0.32,0.37,0.42,0.47,0.52
"50",-1.04,-0.94,-0.84,-0.74,-0.64,-0.54,-0.45,-0.35,-0.27,-0.19,-0.11,-0.03,0.03,0.1,0.16,0.22,0.27,0.32,0.37,0.42,0.47,0.52,0.57
"55",-0.99,-0.89,-0.79,-0.68,-0.58,-0.49,-0.39,-0.3,-0.21,-0.13,-0.05,0.02,0.09,0.15,0.21,0.27,0.32,0.38,0.43,0.48,0.53,0.58,0.63
"60",-0.93,-0.83,-0.73,-0.63,-0.53,-0.43,-0.34,-0.24,-0.16,-0.07,0,0.08,0.15,0.21,0.27,0.33,0.38,0.43,0.48,0.53,0.58,0.63,0.68
"65",-0.88,-0.77,-0.67,-0.57,-0.47,-0.37,-0.28,-0.19,-0.1,-0.02,0.06,0.14,0.2,0.27,0.33,0.38,0.44,0.49,0.54,0.59,0.64,0.69,0.74
"70",-0.81,-0.71,-0.61,-0.51,-0.41,-0.31,-0.22,-0.12,-0.04,0.05,0.12,0.2,0.26,0.33,0.39,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8
"75",-0.75,-0.65,-0.54,-0.44,-0.34,-0.25,-0.15,-0.06,0.03,0.11,0.19,0.26,0.33,0.4,0.46,0.51,0.57,0.62,0.67,0.72,0.77,0.82,0.87
"80",-0.68,-0.57,-0.47,-0.37,-0.27,-0.17,-0.08,0.01,0.1,0.18,0.26,0.34,0.4,0.47,0.53,0.58,0.64,0.69,0.74,0.79,0.84,0.89,0.94
"85",-0.59,-0.49,-0.39,-0.28,-0.18,-0.09,0.01,0.1,0.19,0.27,0.35,0.42,0.49,0.55,0.61,0.67,0.72,0.78,0.83,0.88,0.93,0.98,1.03
"90",-0.48,-0.38,-0.28,-0.18,-0.08,0.02,0.12,0.21,0.29,0.38,0.46,0.53,0.6,0.66,0.72,0.78,0.83,0.88,0.93,0.98,1.03,1.08,1.14
"95",-0.32,-0.22,-0.12,-0.02,0.08,0.18,0.28,0.37,0.45,0.54,0.61,0.69,0.76,0.82,0.88,0.94,0.99,1.04,1.09,1.14,1.19,1.24,1.29
"99",-0.02,0.08,0.18,0.28,0.38,0.48,0.57,0.67,0.75,0.84,0.91,0.99,1.06,1.12,1.18,1.24,1.29,1.34,1.39,1.44,1.49,1.54,1.59
