"","V1","V2","V3","V4","V5","V6","V7"
"age",12,13,14,15,16,17,18
"5",0,0,0,0,0,1,1
"10",0,0,0,1,1,2,3
"15",0,0,1,1,2,3,5
"20",0,1,1,1,2,4,7
"25",0,1,1,2,3,5,9
"30",1,1,2,2,4,7,11
"35",1,1,2,3,5,9,14
"40",1,1,2,4,6,10,17
"45",1,2,3,5,8,13,21
"50",1,2,3,6,9,15,25
"55",2,2,4,7,11,18,29
"60",2,3,5,8,13,21,34
"65",2,3,6,9,15,24,39
"70",2,4,6,11,17,28,45
"75",3,5,8,12,20,33,52
"80",3,6,9,15,24,38,61
"85",4,7,11,18,29,46,72
"90",5,8,14,22,35,56,88
"95",7,11,18,29,47,74,113
"99",11,18,29,46,73,112,166
