"","V1","V2","V3","V4","V5","V6","V7"
"age",12,13,14,15,16,17,18
"5",0,0,0,0,0,1,1
"10",0,0,0,1,1,2,3
"15",0,0,1,1,2,3,5
"20",0,1,1,2,3,4,8
"25",1,1,1,2,4,6,11
"30",1,1,2,3,5,8,14
"35",1,1,2,4,6,11,18
"40",1,2,3,5,8,13,22
"45",1,2,3,6,9,16,27
"50",1,2,4,7,11,19,33
"55",2,3,5,8,14,23,39
"60",2,3,6,9,16,27,45
"65",2,4,7,11,19,32,53
"70",3,5,8,13,22,37,62
"75",3,5,9,16,26,44,72
"80",4,6,11,18,31,52,85
"85",4,8,13,22,38,62,101
"90",6,10,16,28,47,77,123
"95",7,13,22,37,62,100,157
"99",12,20,35,59,96,151,226
