"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
"5",1,1,2,4,7,11,17,25,35,47,61,78,97,118,142,167,193,220,247,274,300,327,352
"10",2,3,6,9,15,22,31,43,58,75,94,117,142,168,197,226,257,287,317,347,376,404,431
"15",4,6,10,15,23,33,45,60,78,99,123,149,177,208,239,271,304,336,367,398,427,455,482
"20",6,10,15,22,31,43,58,77,98,122,149,178,209,242,275,309,343,376,408,438,467,495,521
"25",9,14,20,29,40,55,72,93,117,144,173,205,238,273,307,342,377,410,442,472,500,527,552
"30",12,18,26,37,50,66,86,109,136,165,197,230,265,301,337,372,407,440,471,501,528,554,578
"35",16,24,33,45,60,79,101,126,155,186,220,255,292,328,365,400,435,467,498,527,553,577,599
"40",21,29,40,54,71,92,116,143,174,207,243,279,317,354,391,427,460,492,522,550,575,598,618
"45",26,36,48,64,83,105,131,161,194,229,266,303,342,379,416,451,485,516,544,570,594,615,634
"50",32,43,57,75,95,120,148,179,214,250,289,327,366,404,441,475,508,537,565,590,612,631,648
"55",39,52,67,86,109,135,165,199,235,273,312,352,391,428,464,498,529,558,584,607,627,645,660
"60",47,61,79,99,124,152,184,219,257,296,336,376,415,453,488,521,550,578,602,623,642,658,671
"65",57,72,91,114,140,170,204,241,280,321,361,401,440,477,511,542,571,596,619,638,655,669,680
"70",68,85,106,130,159,191,226,265,305,346,388,428,466,501,534,564,591,614,634,652,667,679,688
"75",81,100,123,149,180,214,251,291,332,374,416,455,492,527,558,586,610,631,649,665,677,687,695
"80",97,118,143,172,204,240,279,321,363,405,446,485,520,553,582,607,629,648,664,676,687,695,700
"85",118,142,169,200,235,273,313,355,398,440,480,517,551,580,607,629,648,664,677,687,695,701,705
"90",147,174,204,237,274,314,356,399,441,482,520,554,585,611,633,652,667,680,689,697,702,706,708
"95",195,226,259,296,335,376,418,460,501,538,572,601,626,647,664,677,687,695,701,705,708,709,710
"99",296,330,367,405,445,485,523,559,592,620,643,662,676,687,695,701,705,708,709,710,711,711,711
