"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
"5",1,1,2,4,5,8,12,17,23,30,39,50,63,78,94,112,131,152,173,194,216,238,260
"10",2,3,5,8,11,16,23,31,41,53,67,83,101,121,143,167,191,216,241,267,292,317,342
"15",4,6,9,13,18,25,34,45,58,73,91,112,134,158,184,211,238,266,293,321,347,374,400
"20",6,9,13,18,25,33,45,58,75,93,115,138,164,192,220,249,279,308,337,365,392,419,445
"25",8,12,17,23,32,43,56,72,91,113,138,164,193,223,253,284,315,345,375,403,431,457,483
"30",11,16,22,29,39,52,68,87,108,133,160,189,220,252,284,317,348,379,409,437,464,490,515
"35",14,20,27,36,48,62,80,101,126,153,183,214,247,281,314,347,380,410,440,468,494,519,543
"40",18,24,32,43,56,73,93,117,144,173,205,239,274,309,343,377,409,440,468,496,521,545,568
"45",22,29,39,51,66,85,107,133,162,194,228,264,300,336,371,405,437,467,495,521,546,569,590
"50",26,35,45,59,76,97,121,150,181,216,252,289,326,363,399,432,464,493,520,545,569,590,609
"55",31,41,53,68,87,110,137,168,202,238,276,315,353,390,426,459,490,518,544,568,589,609,627
"60",37,48,62,79,100,125,154,187,223,262,301,341,380,417,453,485,515,542,567,589,609,627,643
"65",43,56,71,90,113,141,172,208,246,287,328,369,408,445,480,511,540,565,588,608,627,643,657
"70",51,65,82,103,129,158,193,230,271,313,356,397,436,473,507,537,564,587,608,627,643,657,669
"75",60,76,95,119,146,179,216,256,299,343,386,427,466,502,534,563,587,609,628,644,658,670,680
"80",71,89,111,137,167,203,242,285,330,375,419,460,498,532,562,588,611,630,646,660,672,682,690
"85",86,106,131,160,194,232,274,320,366,412,456,496,533,564,592,615,634,651,664,675,684,692,698
"90",106,130,158,191,228,270,316,363,411,457,500,538,571,600,623,642,658,671,681,689,695,700,704
"95",140,168,202,240,282,329,377,427,474,519,558,591,619,641,658,672,683,691,697,701,705,707,709
"99",213,250,292,337,386,436,485,532,574,609,637,659,675,687,695,700,704,707,708,710,710,711,711
