"","V1","V2","V3","V4","V5","V6","V7"
"age",12,13,14,15,16,17,18
"5",-2.69,-2.54,-2.39,-2.24,-2.1,-1.95,-1.81
"10",-2.55,-2.39,-2.23,-2.07,-1.91,-1.76,-1.6
"15",-2.45,-2.28,-2.11,-1.95,-1.78,-1.62,-1.46
"20",-2.37,-2.2,-2.03,-1.85,-1.68,-1.52,-1.35
"25",-2.31,-2.13,-1.95,-1.77,-1.6,-1.43,-1.26
"30",-2.25,-2.07,-1.88,-1.7,-1.52,-1.35,-1.17
"35",-2.2,-2.01,-1.82,-1.63,-1.45,-1.27,-1.1
"40",-2.14,-1.95,-1.76,-1.57,-1.38,-1.2,-1.02
"45",-2.09,-1.9,-1.7,-1.51,-1.32,-1.13,-0.95
"50",-2.04,-1.84,-1.64,-1.45,-1.25,-1.06,-0.88
"55",-1.99,-1.79,-1.59,-1.39,-1.19,-1,-0.81
"60",-1.94,-1.74,-1.53,-1.33,-1.12,-0.93,-0.73
"65",-1.89,-1.68,-1.47,-1.26,-1.06,-0.86,-0.66
"70",-1.84,-1.62,-1.41,-1.19,-0.99,-0.78,-0.58
"75",-1.78,-1.56,-1.34,-1.12,-0.91,-0.7,-0.49
"80",-1.71,-1.49,-1.26,-1.04,-0.82,-0.61,-0.4
"85",-1.64,-1.41,-1.18,-0.95,-0.72,-0.5,-0.29
"90",-1.54,-1.3,-1.06,-0.83,-0.6,-0.37,-0.15
"95",-1.4,-1.15,-0.9,-0.65,-0.41,-0.18,0.06
"99",-1.13,-0.86,-0.59,-0.32,-0.06,0.19,0.44
