criteria,max_items,mean_n_items,mean_SE_G,mean_SE_S1,mean_SE_S2,r_bias_vs_full,r_G_vs_full,n_items_never_used
Drule,50,48.286,0.2073796347381066,0.5368744262659348,0.5288343880914645,0.8189610349193116,0.984679834106522,215
Drule,100,80.13933333333335,0.19011964397221012,0.5062023304162643,0.5014816705135148,0.884462660561508,0.9901144009996162,69
Drule,200,131.96400000000006,0.18232847986590217,0.4918668116667426,0.48789306037274616,0.9157794318512122,0.9928732227722016,2
Drule (min_items=200 forced),250,245.43,0.1605,0.4447,0.4587,0.9811,NA,NA
