WS,WG,category_en,definition_en,lexical_class,pos2,uni_lemma,english_gloss
item_53,NA,animals,lion,noun,noun,lion,Lion
item_54,NA,animals,squirrel,noun,noun,squirrel,Squirrel
item_55,NA,animals,crocodile,noun,noun,crocodile,Crocodile
item_56,item_82,vehicles,locomotive,noun,noun,car,Locomotive
item_57,NA,vehicles,car,noun,noun,car,Car
item_58,NA,vehicles,tricycle,noun,noun,tricycle,Tricycle
item_59,NA,vehicles,bicycle,noun,noun,bicycle,Bicycle
item_60,NA,vehicles,fire_engine,noun,noun,firetruck,Fire_engine
item_61,NA,vehicles,dump_truck,noun,noun,NA,Dump_truck
item_62,NA,vehicles,train,noun,noun,train,Train
item_63,NA,vehicles,truck,noun,noun,truck,Truck
item_64,NA,vehicles,motorcycle,noun,noun,motorcycle,Motorcycle
item_65,NA,vehicles,bus,noun,noun,bus,Bus
item_66,NA,vehicles,police_car,noun,noun,police car,Police_car
item_67,NA,vehicles,airplane,noun,noun,airplane,Airplane
item_68,NA,vehicles,ship,noun,noun,ship,Ship
item_69,NA,vehicles,helicopter,noun,noun,helicopter,Helicopter
item_70,item_91,toys,picture_book,noun,noun,book,Picture_book
item_71,item_92,toys,pencil,noun,noun,pencil,Pencil
item_72,item_93,toys,toy,noun,noun,toy (object),Toy
item_73,NA,toys,crayon,noun,noun,crayon,Crayon
item_74,NA,toys,game,noun,noun,game,Game
item_75,NA,toys,soap_bubble,noun,noun,bubbles,Soap_bubble
item_76,NA,toys,drum,noun,noun,drum,Drum
item_77,NA,toys,building_blocks,noun,noun,blocks,Building_blocks
item_78,NA,toys,doll,noun,noun,doll,Doll
item_79,NA,toys,clay,noun,noun,clay,Clay
item_80,NA,toys,paste,noun,noun,glue (object),Paste
item_81,NA,toys,puzzle,noun,noun,puzzle,Puzzle
item_82,NA,toys,bat,noun,noun,bat,Bat
item_83,NA,toys,balloon,noun,noun,balloon,Balloon
item_84,NA,toys,present,noun,noun,present,Present
item_85,NA,toys,pen,noun,noun,pen,Pen
item_86,NA,toys,ball,noun,noun,ball,Ball
item_87,NA,toys,book,noun,noun,book,Book
item_88,item_99,food_drink,ice_cream,noun,noun,ice cream,Ice_cream
item_89,item_100,food_drink,candy,noun,noun,candy,Candy
item_90,item_101,food_drink,strawberry,noun,noun,strawberry,Strawberry
item_91,item_102,food_drink,udon,noun,noun,noodles,Udon
item_92,NA,food_drink,sweet_potato,noun,noun,sweet potato,Sweet_potato
item_93,NA,food_drink,sweets,noun,noun,sweets,Sweets
item_94,NA,food_drink,sugar,noun,noun,sugar,Sugar
item_95,NA,food_drink,sushi,noun,noun,NA,Sushi
item_96,NA,food_drink,rice_ball,noun,noun,NA,Rice_ball
item_97,NA,food_drink,tea,noun,noun,tea,Tea
item_98,NA,food_drink,persimmon,noun,noun,Persimmon,Persimmon
item_99,NA,food_drink,pumpkin,noun,noun,pumpkin,Pumpkin
item_100,NA,food_drink,gum,noun,noun,gum,Gum
item_101,NA,food_drink,curry,noun,noun,NA,Curry
item_102,NA,food_drink,milk,noun,noun,milk,Milk
item_103,NA,food_drink,cucumber,noun,noun,cucumber,Cucumber
item_104,NA,food_drink,cookie,noun,noun,cookie,Cookie
item_105,NA,food_drink,cake,noun,noun,cake,Cake
item_106,NA,food_drink,coffee,noun,noun,coffee,Coffee
item_107,NA,food_drink,ice,noun,noun,ice,Ice
item_108,NA,food_drink,corn,noun,noun,corn,Corn
item_109,NA,food_drink,rice,noun,noun,rice,Rice
item_110,NA,food_drink,fish,noun,noun,fish (food),Fish
item_111,NA,food_drink,sandwich,noun,noun,sandwich,Sandwich
item_112,NA,food_drink,jam,noun,noun,jam,Jam
item_113,NA,food_drink,juice,noun,noun,juice,Juice
item_114,NA,food_drink,soy_sauce,noun,noun,soy sauce,Soy_sauce
item_115,NA,food_drink,watermelon,noun,noun,watermelon,Watermelon
item_116,NA,food_drink,soup,noun,noun,soup,Soup
item_117,NA,food_drink,spaghetti,noun,noun,spaghetti,Spaghetti
item_118,NA,food_drink,jelly,noun,noun,jelly,Jelly
item_119,NA,food_drink,rice_crackers,noun,noun,cracker,Rice_crackers
item_120,NA,food_drink,radish,noun,noun,radish,Radish
item_121,NA,food_drink,egg,noun,noun,egg,Egg
item_122,NA,food_drink,cheese,noun,noun,cheese,Cheese
item_123,NA,food_drink,chocolate,noun,noun,chocolate,Chocolate
item_124,NA,food_drink,tofu,noun,noun,tofu,Tofu
item_125,NA,food_drink,donut,noun,noun,donut,Donut
item_126,NA,food_drink,tomato,noun,noun,tomato,Tomato
item_127,NA,food_drink,pear,noun,noun,pear,Pear
item_128,NA,food_drink,eggplant,noun,noun,eggplant,Eggplant
item_129,NA,food_drink,natto,noun,noun,NA,Natto
item_130,NA,food_drink,meat,noun,noun,meat,Meat
item_131,NA,food_drink,carrot,noun,noun,carrot,Carrot
item_132,NA,food_drink,seaweed,noun,noun,NA,Seaweed
item_133,NA,food_drink,butter,noun,noun,butter,Butter
item_134,NA,food_drink,banana,noun,noun,banana,Banana
item_135,NA,food_drink,bread,noun,noun,bread,Bread
item_136,NA,food_drink,ham,noun,noun,ham,Ham
item_137,NA,food_drink,hamburger,noun,noun,hamburger,Hamburger
item_138,NA,food_drink,green_pepper,noun,noun,NA,Green_pepper
item_139,NA,food_drink,grape,noun,noun,grapes,Grape
item_140,NA,food_drink,pudding,noun,noun,pudding,Pudding
item_141,NA,food_drink,spinach,noun,noun,spinach,Spinach
item_142,NA,food_drink,pocky,noun,noun,NA,Pocky
item_143,NA,food_drink,pancake,noun,noun,pancake,Pancake
item_144,NA,food_drink,potato_chips,noun,noun,chips,Potato_chips
item_145,NA,food_drink,bean,noun,noun,beans,Bean
item_146,NA,food_drink,orange,noun,noun,orange (food),Orange
item_147,NA,food_drink,water,noun,noun,water (beverage),Water
item_148,NA,food_drink,miso_soup,noun,noun,soup,Miso_soup
item_149,NA,food_drink,milk,noun,noun,milk,Milk
item_150,NA,food_drink,melon,noun,noun,melon,Melon
item_151,NA,food_drink,peach,noun,noun,peach,Peach
item_152,NA,food_drink,vegetable,noun,noun,vegetable,Vegetable
item_153,NA,food_drink,yogurt,noun,noun,yogurt,Yogurt
item_154,NA,food_drink,ramen,noun,noun,noodles,Ramen
item_155,NA,food_drink,apple,noun,noun,apple,Apple
item_156,item_129,clothing,apron,noun,noun,apron,Apron
item_157,item_130,clothing,overcoat,noun,noun,coat,Overcoat
item_158,item_131,clothing,diaper,noun,noun,diaper,Diaper
item_159,item_132,clothing,shoes,noun,noun,shoe,Shoes
item_160,item_133,clothing,socks,noun,noun,sock,Socks
item_161,item_134,clothing,jeans,noun,noun,jeans,Jeans
item_162,item_135,clothing,shirt,noun,noun,shirt,Shirt
item_163,item_136,clothing,jacket,noun,noun,jacket,Jacket
item_164,item_137,clothing,skirt,noun,noun,skirt,Skirt
item_165,NA,clothing,zuck,noun,noun,sneaker,Zuck
item_166,NA,clothing,pants,noun,noun,pants,Pants
item_167,NA,clothing,slippers,noun,noun,slipper,Slippers
item_168,NA,clothing,sweater,noun,noun,sweater,Sweater
item_169,NA,clothing,socks,noun,noun,sock,Socks
item_170,NA,clothing,tights,noun,noun,tights,Tights
item_171,NA,clothing,zipper,noun,noun,zipper,Zipper
item_172,NA,clothing,gloves,noun,noun,gloves,Gloves
item_173,NA,clothing,boots,noun,noun,boots,Boots
item_174,NA,clothing,tie,noun,noun,tie (object),Tie
item_175,NA,clothing,necklace,noun,noun,necklace,Necklace
item_176,NA,clothing,pajama,noun,noun,pajamas,Pajama
item_177,NA,clothing,shorts,noun,noun,shorts,Shorts
item_178,NA,clothing,belt,noun,noun,belt,Belt
item_179,NA,clothing,hat,noun,noun,hat,Hat
item_180,NA,clothing,button,noun,noun,button,Button
item_181,NA,clothing,scarf,noun,noun,scarf,Scarf
item_182,NA,clothing,clothes,noun,noun,clothes,Clothes
item_183,NA,clothing,ribbon,noun,noun,ribbon,Ribbon
item_184,NA,body_parts,chin,noun,noun,chin,Chin
item_185,NA,body_parts,leg,noun,noun,leg,Leg
item_186,NA,body_parts,head,noun,noun,head,Head
item_187,NA,body_parts,buttocks,noun,noun,buttocks,Buttocks
item_188,NA,body_parts,penis,noun,noun,penis,Penis
item_189,NA,body_parts,breasts,noun,noun,breast,Breasts
item_190,NA,body_parts,forehead,noun,noun,forehead,Forehead
item_191,NA,body_parts,stomach,noun,noun,tummy,Stomach
item_192,NA,body_parts,navel,noun,noun,belly button,Navel
item_193,NA,body_parts,face,noun,noun,face,Face
item_194,NA,body_parts,shoulder,noun,noun,shoulder,Shoulder
item_195,NA,body_parts,hair,noun,noun,hair,Hair
item_196,NA,body_parts,mouth,noun,noun,mouth,Mouth
item_197,NA,body_parts,neck,noun,noun,neck,Neck
item_198,NA,body_parts,injury,noun,noun,NA,Injury
item_199,NA,body_parts,tail,noun,noun,tail,Tail
item_200,NA,body_parts,back,noun,noun,back,Back
item_201,NA,body_parts,nail,noun,noun,nail (finger),Nail
item_202,NA,body_parts,hand,noun,noun,hand,Hand
item_203,NA,body_parts,tooth,noun,noun,tooth,Tooth
item_204,NA,body_parts,nose,noun,noun,nose,Nose
item_205,NA,body_parts,tongue,noun,noun,tongue,Tongue
item_206,NA,body_parts,cheek,noun,noun,cheek,Cheek
item_207,NA,body_parts,eyebrow,noun,noun,eyebrow,Eyebrow
item_208,NA,body_parts,ear,noun,noun,ear,Ear
item_209,NA,body_parts,eye,noun,noun,eye,Eye
item_210,NA,body_parts,finger,noun,noun,finger,Finger
item_211,item_168,furniture_rooms,chair,noun,noun,chair,Chair
item_212,NA,furniture_rooms,air_conditioner,noun,noun,air conditioner,Air_conditioner
item_213,NA,furniture_rooms,closet,noun,noun,closet,Closet
item_214,NA,furniture_rooms,bath,noun,noun,bath,Bath
item_215,NA,furniture_rooms,potty,noun,noun,potty,Potty
item_216,NA,furniture_rooms,curtain,noun,noun,curtain,Curtain
item_217,NA,furniture_rooms,stairs,noun,noun,stairs,Stairs
item_218,NA,furniture_rooms,shoes_rack,noun,noun,NA,Shoes_rack
item_219,NA,furniture_rooms,entrance,noun,noun,NA,Entrance
item_220,NA,furniture_rooms,kotatsu,noun,noun,NA,Kotatsu
item_221,NA,furniture_rooms,shower,noun,noun,shower,Shower
item_222,NA,furniture_rooms,water_crew,noun,noun,NA,Water_crew
item_223,NA,furniture_rooms,stove,noun,noun,stove,Stove
item_224,NA,furniture_rooms,fan,noun,noun,fan,Fan
item_225,NA,furniture_rooms,kitchen,noun,noun,kitchen,Kitchen
item_226,NA,furniture_rooms,tatami,noun,noun,NA,Tatami
item_227,NA,furniture_rooms,wardrobe,noun,noun,closet,Wardrobe
item_228,NA,furniture_rooms,parking_lot,noun,noun,parking lot,Parking_Lot
item_229,NA,furniture_rooms,desk,noun,noun,table,Desk
item_230,NA,furniture_rooms,table,noun,noun,table,Table
item_231,NA,furniture_rooms,television,noun,noun,tv,Television
item_232,NA,furniture_rooms,light,noun,noun,light,Light
item_233,NA,furniture_rooms,door,noun,noun,door,Door
item_234,NA,furniture_rooms,toilet,noun,noun,toilet,Toilet
item_235,NA,furniture_rooms,hairdryer,noun,noun,hair dryer,Hairdryer
item_236,NA,furniture_rooms,piano,noun,noun,piano,Piano
item_237,NA,furniture_rooms,drawer,noun,noun,drawer,Drawer
item_238,NA,furniture_rooms,video,noun,noun,video,Video
item_239,NA,furniture_rooms,bed,noun,noun,bed,Bed
item_240,NA,furniture_rooms,room,noun,noun,room,Room
item_241,NA,furniture_rooms,window,noun,noun,window,Window
item_242,NA,furniture_rooms,refrigerator,noun,noun,refrigerator,Refrigerator
item_243,NA,furniture_rooms,range,noun,noun,microwave,Range
item_244,NA,household,iron,noun,noun,iron (object),Iron
item_245,NA,household,picture,noun,noun,picture,Picture
item_246,NA,household,money,noun,noun,money,Money
item_247,NA,household,dish,noun,noun,dish,Dish
item_248,NA,household,key,noun,noun,key,Key
item_249,NA,household,basket,noun,noun,basket,Basket
item_250,NA,household,umbrella,noun,noun,umbrella,Umbrella
item_251,NA,household,bag,noun,noun,bag,Bag
item_252,NA,household,paper,noun,noun,paper,Paper
item_253,NA,household,camera,noun,noun,camera,Camera
item_254,NA,household,can,noun,noun,can,Can
item_255,NA,household,nail,noun,noun,nail (object),Nail
item_256,NA,household,comb,noun,noun,comb (object),Comb
item_257,NA,household,medicine,noun,noun,medicine,Medicine
item_258,NA,household,cup,noun,noun,cup,Cup
item_259,NA,household,trash_box,noun,noun,trash can,Trash_box
item_260,NA,household,wallet,noun,noun,wallet,Wallet
item_261,NA,household,shampoo,noun,noun,shampoo,Shampoo
item_262,NA,household,straw,noun,noun,straw,Straw
item_263,NA,household,spoon,noun,noun,spoon,Spoon
item_264,NA,household,soap,noun,noun,soap,Soap
item_265,NA,household,rag,noun,noun,rag,Rag
item_266,NA,household,vacuum_cleaner,noun,noun,vacuum cleaner,Vacuum_cleaner
item_267,NA,household,towel,noun,noun,towel,Towel
item_268,NA,household,bowl,noun,noun,bowl,Bowl
item_269,NA,household,tissue,noun,noun,tissue,Tissue
item_270,NA,household,tape,noun,noun,tape,Tape
item_271,NA,household,battery,noun,noun,battery,Battery
item_272,NA,household,phone,noun,noun,telephone,Phone
item_273,NA,household,clock,noun,noun,clock,Clock
item_274,NA,household,knife,noun,noun,knife,Knife
item_275,NA,household,pan,noun,noun,pan,Pan
item_276,NA,household,bucket,noun,noun,bucket,Bucket
item_277,NA,household,box,noun,noun,box,Box
item_278,NA,household,scissors,noun,noun,scissors,Scissors
item_279,NA,household,chopsticks,noun,noun,chopstick,Chopsticks
item_280,NA,household,toothbrush,noun,noun,toothbrush,Toothbrush
item_281,NA,household,handkerchief,noun,noun,handkerchief,Handkerchief
item_282,NA,household,bottle,noun,noun,bottle,Bottle
item_283,NA,household,fork,noun,noun,fork,Fork
item_284,NA,household,futon,noun,noun,NA,Futon
item_285,NA,household,frying_pan,noun,noun,pan,Frying_pan
item_286,NA,household,broom,noun,noun,broom,Broom
item_287,NA,household,kitchen_knife,noun,noun,knife,Kitchen_knife
item_288,NA,household,pot,noun,noun,pot,Pot
item_289,NA,household,microphone,noun,noun,microphone,Microphone
item_290,NA,household,pillow,noun,noun,pillow,Pillow
item_291,NA,household,glasses,noun,noun,glasses,Glasses
item_292,NA,household,alarm_clock,noun,noun,clock,Alarm_clock
item_293,NA,household,blanket,noun,noun,blanket,Blanket
item_294,NA,outside,rain,noun,noun,rain,Rain
item_295,NA,outside,stone,noun,noun,stone,Stone
item_296,NA,outside,rock,noun,noun,stone,Rock
item_297,NA,outside,branch,noun,noun,branch,Branch
item_298,NA,outside,moon,noun,noun,moon,Moon
item_299,NA,outside,weather,noun,noun,NA,Weather
item_300,NA,outside,sun,noun,noun,sun,Sun
item_301,NA,outside,wind,noun,noun,wind,Wind
item_302,NA,outside,river,noun,noun,river,River
item_303,NA,outside,tree,noun,noun,tree,Tree
item_304,NA,outside,grass,noun,noun,grass,Grass
item_305,NA,outside,cloud,noun,noun,cloud,Cloud
item_306,NA,outside,scoop,noun,noun,shovel,Scoop
item_307,NA,outside,sandpit,noun,noun,sandbox,Sandpit
item_308,NA,outside,slide,noun,noun,slide (object),Slide
item_309,NA,outside,sky,noun,noun,sky,Sky
item_310,NA,outside,garden,noun,noun,garden,Garden
item_311,NA,outside,ladder,noun,noun,ladder,Ladder
item_312,NA,outside,flag,noun,noun,flag,Flag
item_313,NA,outside,leaf,noun,noun,leaf,Leaf
item_314,NA,outside,flower,noun,noun,flower,Flower
item_315,NA,outside,pool,noun,noun,pool,Pool
item_316,NA,outside,swing,noun,noun,swing (object),Swing
item_317,NA,outside,veranda,noun,noun,NA,Veranda
item_318,NA,outside,hose,noun,noun,hose,Hose
item_319,NA,outside,star,noun,noun,star,Star
item_320,NA,outside,watering,noun,noun,watering can,Watering
item_321,NA,outside,road,noun,noun,road,Road
item_322,NA,outside,roof,noun,noun,roof,Roof
item_323,NA,outside,snow,noun,noun,snow,Snow
item_324,NA,outside,snowman,noun,noun,snowman,Snowman
item_325,NA,places,house,other,other,house,House
item_326,NA,places,sea,other,other,sea,Sea
item_327,NA,places,movies,other,other,movie,Movies
item_328,NA,places,house,other,other,house,House
item_329,NA,places,job,other,other,work (place),Job
item_330,NA,places,outside,other,other,outside,Outside
item_331,NA,places,shop,other,other,store,Shop
item_332,NA,places,company,other,other,NA,Company
item_333,NA,places,gas_station,other,other,gas station,Gas_station
item_334,NA,places,school,other,other,school,School
item_335,NA,places,camp,other,other,camping,Camp
item_336,NA,places,park,other,other,park,Park
item_337,NA,places,circus,other,other,circus,Circus
item_338,NA,places,supermarket,other,other,market,Supermarket
item_339,NA,places,department_store,other,other,store,Department_store
item_340,NA,places,zoo,other,other,zoo,Zoo
item_341,NA,places,picnic,other,other,picnic,Picnic
item_342,NA,places,nursery_school,other,other,nursery,Nursery_school
item_343,NA,places,woods,other,other,forest,Woods
item_344,NA,places,mountain,other,other,mountain,Mountain
item_345,NA,places,kindergarten,other,other,kindergarten,Kindergarten
item_346,NA,places,restaurant,other,other,restaurant,Restaurant
item_347,NA,people,baby,other,other,baby,Baby
item_348,NA,people,driver,other,other,driver,Driver
item_349,NA,people,doctor,other,other,doctor,Doctor
item_350,NA,people,king,other,other,king,King
item_351,NA,people,mother,other,other,mommy,Mother
item_352,NA,people,grandfather,other,other,grandpa,Grandfather
item_353,NA,people,uncle,other,other,uncle,Uncle
item_354,NA,people,sumo_wrestler,other,other,NA,Sumo_wrestler
item_355,NA,people,father,other,other,daddy,Father
item_356,NA,people,friend,other,other,friend,Friend
item_357,NA,people,older_brother,other,other,brother,Older_brother
item_358,NA,people,older_sister,other,other,sister,Older_sister
item_359,NA,people,grandmother,other,other,grandma,Grandmother
item_360,NA,people,aunt,other,other,aunt,Aunt
item_361,NA,people,princess,other,other,princess,Princess
item_362,NA,people,policeman,other,other,policeman,Policeman
item_363,NA,people,nurse,other,other,nurse,Nurse
item_364,NA,people,particular_character_name,other,other,NA,Particular_character_name
item_365,NA,people,particular_sibling_name,other,other,NA,Particular_sibling_name
item_366,NA,people,child,other,other,child,Child
item_367,NA,people,own_name,other,other,child's own name,Own_name
item_368,NA,people,teacher,other,other,teacher,Teacher
item_369,NA,people,particular_teacher_name,other,other,NA,Particular_teacher_name
item_370,NA,people,particular_friend_name,other,other,NA,Particular_friend_name
item_371,NA,people,daddy,other,other,daddy,Daddy
item_372,NA,people,people,other,other,people,People
item_373,NA,people,particular_pet_name,other,other,NA,Particular_pet_name
item_374,NA,people,mom,other,other,mommy,Mom
item_375,NA,people,postman,other,other,postman,Postman
item_376,NA,games_routines,thank_you,other,other,thank you,Thank_you
item_377,NA,games_routines,let’s_eat,other,other,NA,Let’s_eat
item_378,NA,games_routines,have_a_good_day,other,other,NA,Have_a_good_day
item_379,NA,games_routines,peekaboo,other,other,peekaboo,Peekaboo
item_380,NA,games_routines,poop,other,other,poop,Poop
item_381,NA,games_routines,song,other,other,song,Song
item_382,NA,games_routines,shopping,other,other,shopping,Shopping
item_383,NA,games_routines,pee,other,other,pee,Pee
item_384,NA,games_routines,end,other,other,end,End
item_385,NA,games_routines,good_morning,other,other,good morning,Good_morning
item_386,NA,games_routines,bath,other,other,bath,Bath
item_387,NA,games_routines,good_night,other,other,good night,Good_night
item_388,NA,games_routines,snack,other,other,snack,Snack
item_389,NA,games_routines,thank_you_for_the_meal,other,other,NA,Thank_you_for_the_meal
item_390,NA,games_routines,meal,other,other,meal,Meal
item_391,NA,games_routines,sorry,other,other,sorry,Sorry
item_392,NA,games_routines,hello,other,other,hello,Hello
item_393,NA,games_routines,shush,other,other,shh,Shush
item_394,NA,games_routines,rock_paper_scissors,other,other,rock paper scissors,Rock_paper_scissors
item_395,NA,games_routines,no_good,other,other,don't,No_good
item_396,NA,games_routines,give_me,other,other,give me,Give_me
item_397,NA,games_routines,here_you_are,other,other,NA,Here_you_are
item_398,NA,games_routines,yes,other,other,yes,Yes
item_399,NA,games_routines,bye_bye,other,other,bye,Bye_bye
item_400,NA,games_routines,teethbrushing,other,other,brush teeth,Teethbrushing
item_401,NA,action_words,go_up,verb,predicate,go up,Go_up 
item_402,NA,action_words,open,verb,predicate,open (action),Open
item_403,NA,action_words,rise,verb,predicate,lift (action),Rise
item_404,NA,action_words,play,verb,predicate,play,Play
item_405,NA,action_words,wash,verb,predicate,wash,Wash
item_406,NA,action_words,exist,verb,predicate,be,Exist
item_407,NA,action_words,walk,verb,predicate,walk,Walk
item_408,NA,action_words,say,verb,predicate,say,Say
item_409,NA,action_words,go,verb,predicate,go,Go
item_410,NA,action_words,need,verb,predicate,need,Need
item_411,NA,action_words,be_there,verb,predicate,NA,Be_there
item_412,NA,action_words,put_in,verb,predicate,put in,Put_in
item_413,NA,action_words,sing,verb,predicate,sing,Sing
item_414,NA,action_words,get_up,verb,predicate,get up,Get_up
item_415,NA,action_words,put,verb,predicate,put,Put
item_416,NA,action_words,get_angry,verb,predicate,NA,Get_angry
item_417,NA,action_words,push,verb,predicate,push,Push
item_418,NA,action_words,fall,verb,predicate,fall,Fall
item_419,NA,action_words,dance,verb,predicate,dance,Dance
item_420,NA,action_words,to_piggyback,verb,predicate,NA,To_piggyback
item_421,NA,action_words,swim,verb,predicate,swim,Swim
item_422,NA,action_words,get_off,verb,predicate,get off,Get_off
item_423,NA,action_words,end,verb,predicate,end,End
item_424,NA,action_words,buy,verb,predicate,buy,Buy
item_425,NA,action_words,go_home,verb,predicate,NA,Go_home
item_426,NA,action_words,write,verb,predicate,write,Write
item_427,NA,action_words,hide,verb,predicate,hide,Hide
item_428,NA,action_words,hang,verb,predicate,hang,Hang
item_429,NA,action_words,lend,verb,predicate,lend,Lend
item_430,NA,action_words,clean_up,verb,predicate,clean (action),Clean_up
item_431,NA,action_words,put_on,verb,predicate,put on,Put_on
item_432,NA,action_words,disappear,verb,predicate,NA,Disappear
item_433,NA,action_words,listen,verb,predicate,listen,Listen
item_434,NA,action_words,hear,verb,predicate,hear,Hear
item_435,NA,action_words,wear,verb,predicate,wear,Wear
item_436,NA,action_words,cut,verb,predicate,cut,Cut
item_437,NA,action_words,stick,verb,predicate,stick,Stick
item_438,NA,action_words,come,verb,predicate,come,Come
item_439,NA,action_words,kick,verb,predicate,kick,Kick
item_440,NA,action_words,spill,verb,predicate,spill,Spill
item_441,NA,action_words,fall,verb,predicate,fall,Fall
item_442,NA,action_words,break_down,verb,predicate,break,Break_down
item_443,NA,action_words,touch,verb,predicate,touch,Touch
item_444,NA,action_words,close,verb,predicate,close,Close
item_445,NA,action_words,know,verb,predicate,know,Know
item_446,NA,action_words,like,verb,predicate,like,Like
item_447,NA,action_words,throw_away,verb,predicate,NA,Throw_away
item_448,NA,action_words,do,verb,predicate,do,Do
item_449,NA,action_words,sit,verb,predicate,sit,Sit
item_450,NA,action_words,hug,verb,predicate,hug,Hug
item_451,NA,action_words,put_out,verb,predicate,NA,Put_out
item_452,NA,action_words,help,verb,predicate,help,Help
item_453,NA,action_words,hit,verb,predicate,hit,Hit
item_454,NA,action_words,stand,verb,predicate,stand,Stand
item_455,NA,action_words,eat,verb,predicate,eat,Eat
item_456,NA,action_words,catch,verb,predicate,catch,Catch
item_457,NA,action_words,reach,verb,predicate,arrive,Reach
item_458,NA,action_words,create,verb,predicate,make,Create
item_459,NA,action_words,attach,verb,predicate,attach,Attach
item_460,NA,action_words,can_do,verb,predicate,NA,Can_do
item_461,NA,action_words,get_out,verb,predicate,get out,Get_out
item_462,NA,action_words,jump,verb,predicate,jump,Jump
item_463,NA,action_words,stop,verb,predicate,stop,Stop
item_464,NA,action_words,take,verb,predicate,take,Take
item_465,NA,action_words,fix,verb,predicate,fix,Fix
item_466,NA,action_words,cry,verb,predicate,cry,Cry
item_467,NA,action_words,throw,verb,predicate,throw,Throw
item_468,NA,action_words,lick,verb,predicate,lick,Lick
item_469,NA,action_words,become,verb,predicate,become,Become
item_470,NA,action_words,escape,verb,predicate,escape,Escape
item_471,NA,action_words,take_off,verb,predicate,remove,Take_off
item_472,NA,action_words,paint,verb,predicate,paint (action),Paint
item_473,NA,action_words,sleep,verb,predicate,sleep,Sleep
item_474,NA,action_words,climb,verb,predicate,climb,Climb
item_475,NA,action_words,drink,verb,predicate,drink (action),Drink
item_476,NA,action_words,get_on,verb,predicate,get on,Get_on
item_477,NA,action_words,enter,verb,predicate,enter,Enter
item_478,NA,action_words,wear,verb,predicate,wear,Wear
item_479,NA,action_words,carry,verb,predicate,carry,Carry
item_480,NA,action_words,run,verb,predicate,run,Run
item_481,NA,action_words,pull,verb,predicate,pull,Pull
item_482,NA,action_words,pick_up,verb,predicate,pick up,Pick_up
item_483,NA,action_words,wipe,verb,predicate,wipe,Wipe
