WS,WG,category_en,definition_en,lexical_class,pos2,uni_lemma,english_gloss
item_1,NA,sounds,oh_no,other,other,uh oh,Oh_no
item_2,NA,sounds,ouch,other,other,ouch,Ouch
item_3,NA,sounds,yummy,other,other,yummy,Yummy 
item_4,NA,sounds,quack_quack,other,other,quack quack,Quack_quack
item_5,NA,sounds,roar,other,other,roar,Roar
item_6,NA,sounds,cock_a_doodle_doo,other,other,cockadoodledoo,Cock_a_doodle_doo
item_7,NA,sounds,choo-choo,other,other,choo choo,Choo-choo
item_8,NA,sounds,meow,other,other,meow,Meow
item_9,NA,sounds,broom_broom,other,other,vroom,Broom_broom
item_10,NA,sounds,baa_baa,other,other,baa baa,Baa_baa
item_11,NA,sounds,moo,other,other,moo,Moo
item_12,NA,sounds,bowwow,other,other,woof woof,Bowwow
item_13,item_46,animals,duck,noun,noun,duck,Duck
item_14,item_47,animals,ant,noun,noun,ant,Ant
item_15,item_48,animals,dog,noun,noun,dog,Dog
item_16,item_49,animals,rabbit,noun,noun,rabbit,Rabbit
item_17,item_50,animals,cow,noun,noun,cow,Cow
item_18,item_51,animals,horse,noun,noun,horse,Horse
item_19,NA,animals,shrimp,noun,noun,shrimp,Shrimp
item_20,NA,animals,wolf,noun,noun,wolf,Wolf
item_21,NA,animals,frog,noun,noun,frog,Frog
item_22,NA,animals,crab,noun,noun,crab,Crab
item_23,NA,animals,hippopotamus,noun,noun,hippopotamus,Hippopotamus
item_24,NA,animals,turtle,noun,noun,turtle,Turtle
item_25,NA,animals,crow,noun,noun,crow,Crow
item_26,NA,animals,fox,noun,noun,fox,Fox
item_27,NA,animals,giraffe,noun,noun,giraffe,Giraffe 
item_28,NA,animals,whale,noun,noun,whale,Whale
item_29,NA,animals,bear,noun,noun,bear,Bear
item_30,NA,animals,koala,noun,noun,koala,Koala
item_31,NA,animals,gorilla,noun,noun,gorilla,Gorilla
item_32,NA,animals,fish,noun,noun,fish (animal),Fish
item_33,NA,animals,monkey,noun,noun,monkey,Monkey
item_34,NA,animals,zebra,noun,noun,zebra,Zebra
item_35,NA,animals,elephant,noun,noun,elephant,Elephant
item_36,NA,animals,raccoon,noun,noun,NA,Raccoon
item_37,NA,animals,butterfly,noun,noun,butterfly,Butterfly
item_38,NA,animals,animal,noun,noun,animal,Animal
item_39,NA,animals,tiger,noun,noun,tiger,Tiger
item_40,NA,animals,bird,noun,noun,bird,Bird
item_41,NA,animals,chicken,noun,noun,chicken,Chicken
item_42,NA,animals,cat,noun,noun,cat,Cat
item_43,NA,animals,mouse,noun,noun,mouse,Mouse
item_44,NA,animals,bee,noun,noun,bee,Bee
item_45,NA,animals,pigeon,noun,noun,pigeon,Pigeon
item_46,NA,animals,panda,noun,noun,panda,Panda
item_47,NA,animals,sheep,noun,noun,sheep,Sheep
item_48,NA,animals,chick,noun,noun,chick,Chick
item_49,NA,animals,pig,noun,noun,pig,Pig
item_50,NA,animals,snake,noun,noun,snake,Snake
item_51,NA,animals,penguin,noun,noun,penguin,Penguin
item_52,NA,animals,insect,noun,noun,bug,Insect
