criteria,max_items,mean_n_items,mean_SE_G,mean_SE_S1,mean_SE_S2,r_bias_vs_full,r_G_vs_full
Drule,100,75.24068157614482,0.2075786960902014,0.6392577094873136,0.6285231427780393,0.9322099277933537,0.9888484651440621
Wrule,100,98.02662406815762,0.2244195543008581,0.6524059795365148,0.6595802042134469,0.9290987132670896,0.9833977688984455
Drule,200,131.1853035143769,0.2042505358733928,0.6308412372986748,0.6208661716679483,0.9467057692580512,0.9899334109233096
Wrule,200,161.58253461128848,0.21181280817852233,0.6270691566548561,0.6292605533583293,0.9672821413635314,0.987419266180704
