,filename,category_en,category_ja,project,id,understands,produces,ID,Sex.(f/m),OpenScience.(ok:1/no:0),AgeD.(days),AgeM.(months)
1,JW_S0084_13_Pink.xlsx,sounds,幼児語,JW,S0084,0,0,S0084,f,1,415,13
2,JW_S0084_13_Pink.xlsx,animals,動物の名前,JW,S0084,0,0,S0084,f,1,415,13
3,JW_S0084_13_Pink.xlsx,vehicles,乗り物,JW,S0084,0,0,S0084,f,1,415,13
4,JW_S0084_13_Pink.xlsx,toys,おもちゃ,JW,S0084,0,0,S0084,f,1,415,13
5,JW_S0084_13_Pink.xlsx,food_drink,食べ物と飲み物,JW,S0084,0,0,S0084,f,1,415,13
6,JW_S0084_13_Pink.xlsx,clothing,衣類,JW,S0084,1,0,S0084,f,1,415,13
7,JW_S0084_13_Pink.xlsx,body_parts,体の部分,JW,S0084,2,0,S0084,f,1,415,13
8,JW_S0084_13_Pink.xlsx,furniture_rooms,家具と部屋,JW,S0084,1,0,S0084,f,1,415,13
9,JW_S0084_13_Pink.xlsx,household,小さな家庭用品,JW,S0084,0,0,S0084,f,1,415,13
10,JW_S0084_13_Pink.xlsx,outside,戸外の物と場所,JW,S0084,0,0,S0084,f,1,415,13
11,JW_S0084_13_Pink.xlsx,people,人々,JW,S0084,3,0,S0084,f,1,415,13
12,JW_S0084_13_Pink.xlsx,games_routines,日課とあいさつ,JW,S0084,7,0,S0084,f,1,415,13
13,JW_S0084_13_Pink.xlsx,action_words,動作語,JW,S0084,0,0,S0084,f,1,415,13
14,JW_S0084_13_Pink.xlsx,time_words,時間についてのことば,JW,S0084,0,0,S0084,f,1,415,13
15,JW_S0084_13_Pink.xlsx,descriptive_words,ようす・性質,JW,S0084,0,0,S0084,f,1,415,13
16,JW_S0084_13_Pink.xlsx,pronouns,代名詞,JW,S0084,0,0,S0084,f,1,415,13
17,JW_S0084_13_Pink.xlsx,question_words,質問のことば,JW,S0084,0,0,S0084,f,1,415,13
18,JW_S0084_13_Pink.xlsx,locations,位置と場所についてのことば,JW,S0084,0,0,S0084,f,1,415,13
19,JW_S0084_13_Pink.xlsx,quantifiers,数量を表すことば,JW,S0084,0,0,S0084,f,1,415,13
20,JW_S0084_13_Pink.xlsx,sounds2,幼児語（その２）,JW,S0084,2,0,S0084,f,1,415,13
21,JW_S0084_13_Pink.xlsx,conversations,会話語,JW,S0084,0,0,S0084,f,1,415,13
22,JW_S0084_13_Pink.xlsx,others,その他,JW,S0084,1,0,S0084,f,1,415,13
23,JW_S0101_11_Pink.xlsx,sounds,幼児語,JW,S0101,7,0,S0101,f,1,341,11
24,JW_S0101_11_Pink.xlsx,animals,動物の名前,JW,S0101,8,0,S0101,f,1,341,11
25,JW_S0101_11_Pink.xlsx,vehicles,乗り物,JW,S0101,2,0,S0101,f,1,341,11
26,JW_S0101_11_Pink.xlsx,toys,おもちゃ,JW,S0101,4,0,S0101,f,1,341,11
27,JW_S0101_11_Pink.xlsx,food_drink,食べ物と飲み物,JW,S0101,2,0,S0101,f,1,341,11
28,JW_S0101_11_Pink.xlsx,clothing,衣類,JW,S0101,2,0,S0101,f,1,341,11
29,JW_S0101_11_Pink.xlsx,body_parts,体の部分,JW,S0101,7,0,S0101,f,1,341,11
30,JW_S0101_11_Pink.xlsx,furniture_rooms,家具と部屋,JW,S0101,4,0,S0101,f,1,341,11
31,JW_S0101_11_Pink.xlsx,household,小さな家庭用品,JW,S0101,3,0,S0101,f,1,341,11
32,JW_S0101_11_Pink.xlsx,outside,戸外の物と場所,JW,S0101,7,0,S0101,f,1,341,11
33,JW_S0101_11_Pink.xlsx,people,人々,JW,S0101,9,0,S0101,f,1,341,11
34,JW_S0101_11_Pink.xlsx,games_routines,日課とあいさつ,JW,S0101,15,0,S0101,f,1,341,11
35,JW_S0101_11_Pink.xlsx,action_words,動作語,JW,S0101,12,0,S0101,f,1,341,11
36,JW_S0101_11_Pink.xlsx,time_words,時間についてのことば,JW,S0101,4,0,S0101,f,1,341,11
37,JW_S0101_11_Pink.xlsx,descriptive_words,ようす・性質,JW,S0101,11,0,S0101,f,1,341,11
38,JW_S0101_11_Pink.xlsx,pronouns,代名詞,JW,S0101,8,0,S0101,f,1,341,11
39,JW_S0101_11_Pink.xlsx,question_words,質問のことば,JW,S0101,1,0,S0101,f,1,341,11
40,JW_S0101_11_Pink.xlsx,locations,位置と場所についてのことば,JW,S0101,0,0,S0101,f,1,341,11
41,JW_S0101_11_Pink.xlsx,quantifiers,数量を表すことば,JW,S0101,5,0,S0101,f,1,341,11
42,JW_S0101_11_Pink.xlsx,sounds2,幼児語（その２）,JW,S0101,10,0,S0101,f,1,341,11
43,JW_S0101_11_Pink.xlsx,conversations,会話語,JW,S0101,1,0,S0101,f,1,341,11
44,JW_S0101_11_Pink.xlsx,others,その他,JW,S0101,6,0,S0101,f,1,341,11
45,JW_S0117_13_Pink.xlsx,sounds,幼児語,JW,S0117,0,0,S0117,f,1,395,13
46,JW_S0117_13_Pink.xlsx,animals,動物の名前,JW,S0117,0,0,S0117,f,1,395,13
47,JW_S0117_13_Pink.xlsx,vehicles,乗り物,JW,S0117,0,0,S0117,f,1,395,13
48,JW_S0117_13_Pink.xlsx,toys,おもちゃ,JW,S0117,0,0,S0117,f,1,395,13
49,JW_S0117_13_Pink.xlsx,food_drink,食べ物と飲み物,JW,S0117,0,0,S0117,f,1,395,13
50,JW_S0117_13_Pink.xlsx,clothing,衣類,JW,S0117,0,0,S0117,f,1,395,13
51,JW_S0117_13_Pink.xlsx,body_parts,体の部分,JW,S0117,0,0,S0117,f,1,395,13
52,JW_S0117_13_Pink.xlsx,furniture_rooms,家具と部屋,JW,S0117,0,0,S0117,f,1,395,13
53,JW_S0117_13_Pink.xlsx,household,小さな家庭用品,JW,S0117,0,0,S0117,f,1,395,13
54,JW_S0117_13_Pink.xlsx,outside,戸外の物と場所,JW,S0117,0,0,S0117,f,1,395,13
55,JW_S0117_13_Pink.xlsx,people,人々,JW,S0117,4,0,S0117,f,1,395,13
56,JW_S0117_13_Pink.xlsx,games_routines,日課とあいさつ,JW,S0117,3,0,S0117,f,1,395,13
57,JW_S0117_13_Pink.xlsx,action_words,動作語,JW,S0117,0,0,S0117,f,1,395,13
58,JW_S0117_13_Pink.xlsx,time_words,時間についてのことば,JW,S0117,0,0,S0117,f,1,395,13
59,JW_S0117_13_Pink.xlsx,descriptive_words,ようす・性質,JW,S0117,0,0,S0117,f,1,395,13
60,JW_S0117_13_Pink.xlsx,pronouns,代名詞,JW,S0117,0,0,S0117,f,1,395,13
61,JW_S0117_13_Pink.xlsx,question_words,質問のことば,JW,S0117,0,0,S0117,f,1,395,13
62,JW_S0117_13_Pink.xlsx,locations,位置と場所についてのことば,JW,S0117,0,0,S0117,f,1,395,13
63,JW_S0117_13_Pink.xlsx,quantifiers,数量を表すことば,JW,S0117,0,0,S0117,f,1,395,13
64,JW_S0117_13_Pink.xlsx,sounds2,幼児語（その２）,JW,S0117,1,0,S0117,f,1,395,13
65,JW_S0117_13_Pink.xlsx,conversations,会話語,JW,S0117,0,0,S0117,f,1,395,13
66,JW_S0117_13_Pink.xlsx,others,その他,JW,S0117,1,0,S0117,f,1,395,13
67,JW_S0136_11_Pink.xlsx,sounds,幼児語,JW,S0136,7,0,S0136,f,1,341,11
68,JW_S0136_11_Pink.xlsx,animals,動物の名前,JW,S0136,15,0,S0136,f,1,341,11
69,JW_S0136_11_Pink.xlsx,vehicles,乗り物,JW,S0136,3,0,S0136,f,1,341,11
70,JW_S0136_11_Pink.xlsx,toys,おもちゃ,JW,S0136,2,0,S0136,f,1,341,11
71,JW_S0136_11_Pink.xlsx,food_drink,食べ物と飲み物,JW,S0136,10,0,S0136,f,1,341,11
72,JW_S0136_11_Pink.xlsx,clothing,衣類,JW,S0136,5,0,S0136,f,1,341,11
73,JW_S0136_11_Pink.xlsx,body_parts,体の部分,JW,S0136,11,0,S0136,f,1,341,11
74,JW_S0136_11_Pink.xlsx,furniture_rooms,家具と部屋,JW,S0136,13,0,S0136,f,1,341,11
