,filename,category_en,category_ja,project,id,understands,produces,ID,Sex.(f/m),OpenScience.(ok:1/no:0),AgeD.(days),AgeM.(months)
1,BL_B0001_17_Pink.xlsx,sounds,幼児語,BL,B0001,4,0,B0001,m,1,519,17
2,BL_B0001_17_Pink.xlsx,animals,動物の名前,BL,B0001,3,0,B0001,m,1,519,17
3,BL_B0001_17_Pink.xlsx,vehicles,乗り物,BL,B0001,5,0,B0001,m,1,519,17
4,BL_B0001_17_Pink.xlsx,toys,おもちゃ,BL,B0001,8,0,B0001,m,1,519,17
5,BL_B0001_17_Pink.xlsx,food_drink,食べ物と飲み物,BL,B0001,6,0,B0001,m,1,519,17
6,BL_B0001_17_Pink.xlsx,clothing,衣類,BL,B0001,3,0,B0001,m,1,519,17
7,BL_B0001_17_Pink.xlsx,body_parts,体の部分,BL,B0001,0,0,B0001,m,1,519,17
8,BL_B0001_17_Pink.xlsx,furniture_rooms,家具と部屋,BL,B0001,0,0,B0001,m,1,519,17
9,BL_B0001_17_Pink.xlsx,household,小さな家庭用品,BL,B0001,2,0,B0001,m,1,519,17
10,BL_B0001_17_Pink.xlsx,outside,戸外の物と場所,BL,B0001,3,0,B0001,m,1,519,17
11,BL_B0001_17_Pink.xlsx,people,人々,BL,B0001,3,0,B0001,m,1,519,17
12,BL_B0001_17_Pink.xlsx,games_routines,日課とあいさつ,BL,B0001,3,3,B0001,m,1,519,17
13,BL_B0001_17_Pink.xlsx,action_words,動作語,BL,B0001,3,0,B0001,m,1,519,17
14,BL_B0001_17_Pink.xlsx,time_words,時間についてのことば,BL,B0001,0,0,B0001,m,1,519,17
15,BL_B0001_17_Pink.xlsx,descriptive_words,ようす・性質,BL,B0001,0,0,B0001,m,1,519,17
16,BL_B0001_17_Pink.xlsx,pronouns,代名詞,BL,B0001,0,1,B0001,m,1,519,17
17,BL_B0001_17_Pink.xlsx,question_words,質問のことば,BL,B0001,0,0,B0001,m,1,519,17
18,BL_B0001_17_Pink.xlsx,locations,位置と場所についてのことば,BL,B0001,0,0,B0001,m,1,519,17
19,BL_B0001_17_Pink.xlsx,quantifiers,数量を表すことば,BL,B0001,0,0,B0001,m,1,519,17
20,BL_B0001_17_Pink.xlsx,sounds2,幼児語（その２）,BL,B0001,0,0,B0001,m,1,519,17
21,BL_B0001_17_Pink.xlsx,conversations,会話語,BL,B0001,0,1,B0001,m,1,519,17
22,BL_B0001_17_Pink.xlsx,others,その他,BL,B0001,2,1,B0001,m,1,519,17
23,BL_B0002_15_Pink.xlsx,sounds,幼児語,BL,B0002,5,3,B0002,f,1,474,15
24,BL_B0002_15_Pink.xlsx,animals,動物の名前,BL,B0002,18,5,B0002,f,1,474,15
25,BL_B0002_15_Pink.xlsx,vehicles,乗り物,BL,B0002,4,0,B0002,f,1,474,15
26,BL_B0002_15_Pink.xlsx,toys,おもちゃ,BL,B0002,6,1,B0002,f,1,474,15
27,BL_B0002_15_Pink.xlsx,food_drink,食べ物と飲み物,BL,B0002,11,4,B0002,f,1,474,15
28,BL_B0002_15_Pink.xlsx,clothing,衣類,BL,B0002,8,0,B0002,f,1,474,15
29,BL_B0002_15_Pink.xlsx,body_parts,体の部分,BL,B0002,16,0,B0002,f,1,474,15
30,BL_B0002_15_Pink.xlsx,furniture_rooms,家具と部屋,BL,B0002,9,0,B0002,f,1,474,15
31,BL_B0002_15_Pink.xlsx,household,小さな家庭用品,BL,B0002,19,0,B0002,f,1,474,15
32,BL_B0002_15_Pink.xlsx,outside,戸外の物と場所,BL,B0002,6,0,B0002,f,1,474,15
33,BL_B0002_15_Pink.xlsx,people,人々,BL,B0002,7,3,B0002,f,1,474,15
34,BL_B0002_15_Pink.xlsx,games_routines,日課とあいさつ,BL,B0002,11,8,B0002,f,1,474,15
35,BL_B0002_15_Pink.xlsx,action_words,動作語,BL,B0002,47,4,B0002,f,1,474,15
36,BL_B0002_15_Pink.xlsx,time_words,時間についてのことば,BL,B0002,2,0,B0002,f,1,474,15
37,BL_B0002_15_Pink.xlsx,descriptive_words,ようす・性質,BL,B0002,15,2,B0002,f,1,474,15
38,BL_B0002_15_Pink.xlsx,pronouns,代名詞,BL,B0002,9,1,B0002,f,1,474,15
39,BL_B0002_15_Pink.xlsx,question_words,質問のことば,BL,B0002,4,1,B0002,f,1,474,15
40,BL_B0002_15_Pink.xlsx,locations,位置と場所についてのことば,BL,B0002,10,0,B0002,f,1,474,15
41,BL_B0002_15_Pink.xlsx,quantifiers,数量を表すことば,BL,B0002,8,0,B0002,f,1,474,15
42,BL_B0002_15_Pink.xlsx,sounds2,幼児語（その２）,BL,B0002,14,6,B0002,f,1,474,15
43,BL_B0002_15_Pink.xlsx,conversations,会話語,BL,B0002,4,7,B0002,f,1,474,15
44,BL_B0002_15_Pink.xlsx,others,その他,BL,B0002,5,2,B0002,f,1,474,15
45,BL_B0003_16_Pink.xlsx,sounds,幼児語,BL,B0003,0,0,B0003,f,1,506,16
46,BL_B0003_16_Pink.xlsx,animals,動物の名前,BL,B0003,0,0,B0003,f,1,506,16
47,BL_B0003_16_Pink.xlsx,vehicles,乗り物,BL,B0003,0,0,B0003,f,1,506,16
