"","filename","category_en","category_ja","project","id","produces","ID","Sex.(f/m)","OpenSciense.(ok:1/no:0)","AgeD.(days)","AgeM.(months)"
"1","HM_H0001_24_Yellow.xlsx","sounds","幼児語","HM","H0001",11,"H0001","f",1,753,24
"2","HM_H0001_24_Yellow.xlsx","animals","動物の名前","HM","H0001",21,"H0001","f",1,753,24
"3","HM_H0001_24_Yellow.xlsx","vehicles","乗り物","HM","H0001",5,"H0001","f",1,753,24
"4","HM_H0001_24_Yellow.xlsx","toys","おもちゃ","HM","H0001",3,"H0001","f",1,753,24
"5","HM_H0001_24_Yellow.xlsx","food_drink","食べ物と飲み物","HM","H0001",29,"H0001","f",1,753,24
"6","HM_H0001_24_Yellow.xlsx","clothing","衣類","HM","H0001",7,"H0001","f",1,753,24
"7","HM_H0001_24_Yellow.xlsx","body_parts","体の部分","HM","H0001",14,"H0001","f",1,753,24
"8","HM_H0001_24_Yellow.xlsx","furniture_rooms","家具と部屋","HM","H0001",2,"H0001","f",1,753,24
"9","HM_H0001_24_Yellow.xlsx","household","小さな家庭用品","HM","H0001",7,"H0001","f",1,753,24
"10","HM_H0001_24_Yellow.xlsx","outside","戸外のもの","HM","H0001",6,"H0001","f",1,753,24
"11","HM_H0001_24_Yellow.xlsx","places","おでかけ","HM","H0001",2,"H0001","f",1,753,24
"12","HM_H0001_24_Yellow.xlsx","people","人々","HM","H0001",7,"H0001","f",1,753,24
"13","HM_H0001_24_Yellow.xlsx","games_routines","日課とあいさつ","HM","H0001",20,"H0001","f",1,753,24
"14","HM_H0001_24_Yellow.xlsx","action_words","動作語","HM","H0001",12,"H0001","f",1,753,24
"15","HM_H0001_24_Yellow.xlsx","time_words","時間についてのことば","HM","H0001",2,"H0001","f",1,753,24
"16","HM_H0001_24_Yellow.xlsx","descriptive_words","ようす・性質","HM","H0001",17,"H0001","f",1,753,24
"17","HM_H0001_24_Yellow.xlsx","pronouns","代名詞","HM","H0001",5,"H0001","f",1,753,24
"18","HM_H0001_24_Yellow.xlsx","question_words","質問のことば","HM","H0001",1,"H0001","f",1,753,24
"19","HM_H0001_24_Yellow.xlsx","locations","位置と場所についてのことば","HM","H0001",1,"H0001","f",1,753,24
"20","HM_H0001_24_Yellow.xlsx","quantifiers","数量をあらわすことば","HM","H0001",5,"H0001","f",1,753,24
"21","HM_H0001_24_Yellow.xlsx","connecting_words","接続語","HM","H0001",0,"H0001","f",1,753,24
"22","HM_H0001_24_Yellow.xlsx","sounds2","幼児語（その２）","HM","H0001",18,"H0001","f",1,753,24
"23","HM_H0001_24_Yellow.xlsx","conversations","会話語","HM","H0001",5,"H0001","f",1,753,24
"24","HM_H0001_24_Yellow.xlsx","others","その他","HM","H0001",5,"H0001","f",1,753,24
"25","HM_H0002_24_Yellow.xlsx","sounds","幼児語","HM","H0002",12,"H0002","f",1,756,24
"26","HM_H0002_24_Yellow.xlsx","animals","動物の名前","HM","H0002",41,"H0002","f",1,756,24
"27","HM_H0002_24_Yellow.xlsx","vehicles","乗り物","HM","H0002",10,"H0002","f",1,756,24
"28","HM_H0002_24_Yellow.xlsx","toys","おもちゃ","HM","H0002",10,"H0002","f",1,756,24
"29","HM_H0002_24_Yellow.xlsx","food_drink","食べ物と飲み物","HM","H0002",48,"H0002","f",1,756,24
"30","HM_H0002_24_Yellow.xlsx","clothing","衣類","HM","H0002",10,"H0002","f",1,756,24
"31","HM_H0002_24_Yellow.xlsx","body_parts","体の部分","HM","H0002",25,"H0002","f",1,756,24
"32","HM_H0002_24_Yellow.xlsx","furniture_rooms","家具と部屋","HM","H0002",11,"H0002","f",1,756,24
"33","HM_H0002_24_Yellow.xlsx","household","小さな家庭用品","HM","H0002",14,"H0002","f",1,756,24
"34","HM_H0002_24_Yellow.xlsx","outside","戸外のもの","HM","H0002",8,"H0002","f",1,756,24
"35","HM_H0002_24_Yellow.xlsx","places","おでかけ","HM","H0002",6,"H0002","f",1,756,24
"36","HM_H0002_24_Yellow.xlsx","people","人々","HM","H0002",15,"H0002","f",1,756,24
"37","HM_H0002_24_Yellow.xlsx","games_routines","日課とあいさつ","HM","H0002",24,"H0002","f",1,756,24
