"","filename","category_en","category_ja","project","id","produces","ID","Sex.(f/m)","OpenSciense.(ok:1/no:0)","AgeD.(days)","AgeM.(months)"
"38","HM_H0002_24_Yellow.xlsx","action_words","動作語","HM","H0002",12,"H0002","f",1,756,24
"39","HM_H0002_24_Yellow.xlsx","time_words","時間についてのことば","HM","H0002",2,"H0002","f",1,756,24
"40","HM_H0002_24_Yellow.xlsx","descriptive_words","ようす・性質","HM","H0002",18,"H0002","f",1,756,24
"41","HM_H0002_24_Yellow.xlsx","pronouns","代名詞","HM","H0002",2,"H0002","f",1,756,24
"42","HM_H0002_24_Yellow.xlsx","question_words","質問のことば","HM","H0002",1,"H0002","f",1,756,24
"43","HM_H0002_24_Yellow.xlsx","locations","位置と場所についてのことば","HM","H0002",4,"H0002","f",1,756,24
"44","HM_H0002_24_Yellow.xlsx","quantifiers","数量をあらわすことば","HM","H0002",10,"H0002","f",1,756,24
"45","HM_H0002_24_Yellow.xlsx","connecting_words","接続語","HM","H0002",0,"H0002","f",1,756,24
"46","HM_H0002_24_Yellow.xlsx","sounds2","幼児語（その２）","HM","H0002",29,"H0002","f",1,756,24
"47","HM_H0002_24_Yellow.xlsx","conversations","会話語","HM","H0002",4,"H0002","f",1,756,24
"48","HM_H0002_24_Yellow.xlsx","others","その他","HM","H0002",5,"H0002","f",1,756,24
"49","HM_H0003_22_Yellow.xlsx","sounds","幼児語","HM","H0003",9,"H0003","f",1,697,22
"50","HM_H0003_22_Yellow.xlsx","animals","動物の名前","HM","H0003",0,"H0003","f",1,697,22
"51","HM_H0003_22_Yellow.xlsx","vehicles","乗り物","HM","H0003",1,"H0003","f",1,697,22
"52","HM_H0003_22_Yellow.xlsx","toys","おもちゃ","HM","H0003",1,"H0003","f",1,697,22
"53","HM_H0003_22_Yellow.xlsx","food_drink","食べ物と飲み物","HM","H0003",12,"H0003","f",1,697,22
"54","HM_H0003_22_Yellow.xlsx","clothing","衣類","HM","H0003",1,"H0003","f",1,697,22
"55","HM_H0003_22_Yellow.xlsx","body_parts","体の部分","HM","H0003",6,"H0003","f",1,697,22
"56","HM_H0003_22_Yellow.xlsx","furniture_rooms","家具と部屋","HM","H0003",2,"H0003","f",1,697,22
"57","HM_H0003_22_Yellow.xlsx","household","小さな家庭用品","HM","H0003",4,"H0003","f",1,697,22
"58","HM_H0003_22_Yellow.xlsx","outside","戸外のもの","HM","H0003",3,"H0003","f",1,697,22
"59","HM_H0003_22_Yellow.xlsx","places","おでかけ","HM","H0003",1,"H0003","f",1,697,22
"60","HM_H0003_22_Yellow.xlsx","people","人々","HM","H0003",6,"H0003","f",1,697,22
"61","HM_H0003_22_Yellow.xlsx","games_routines","日課とあいさつ","HM","H0003",9,"H0003","f",1,697,22
"62","HM_H0003_22_Yellow.xlsx","action_words","動作語","HM","H0003",2,"H0003","f",1,697,22
"63","HM_H0003_22_Yellow.xlsx","time_words","時間についてのことば","HM","H0003",0,"H0003","f",1,697,22
"64","HM_H0003_22_Yellow.xlsx","descriptive_words","ようす・性質","HM","H0003",3,"H0003","f",1,697,22
"65","HM_H0003_22_Yellow.xlsx","pronouns","代名詞","HM","H0003",7,"H0003","f",1,697,22
"66","HM_H0003_22_Yellow.xlsx","question_words","質問のことば","HM","H0003",1,"H0003","f",1,697,22
"67","HM_H0003_22_Yellow.xlsx","locations","位置と場所についてのことば","HM","H0003",1,"H0003","f",1,697,22
"68","HM_H0003_22_Yellow.xlsx","quantifiers","数量をあらわすことば","HM","H0003",1,"H0003","f",1,697,22
"69","HM_H0003_22_Yellow.xlsx","connecting_words","接続語","HM","H0003",0,"H0003","f",1,697,22
"70","HM_H0003_22_Yellow.xlsx","sounds2","幼児語（その２）","HM","H0003",19,"H0003","f",1,697,22
"71","HM_H0003_22_Yellow.xlsx","conversations","会話語","HM","H0003",5,"H0003","f",1,697,22
"72","HM_H0003_22_Yellow.xlsx","others","その他","HM","H0003",5,"H0003","f",1,697,22
"73","HM_H0004_20_Yellow.xlsx","sounds","幼児語","HM","H0004",6,"H0004","m",1,636,20
"74","HM_H0004_20_Yellow.xlsx","animals","動物の名前","HM","H0004",1,"H0004","m",1,636,20
"75","HM_H0004_20_Yellow.xlsx","vehicles","乗り物","HM","H0004",1,"H0004","m",1,636,20
"76","HM_H0004_20_Yellow.xlsx","toys","おもちゃ","HM","H0004",0,"H0004","m",1,636,20
"77","HM_H0004_20_Yellow.xlsx","food_drink","食べ物と飲み物","HM","H0004",3,"H0004","m",1,636,20
"78","HM_H0004_20_Yellow.xlsx","clothing","衣類","HM","H0004",2,"H0004","m",1,636,20
"79","HM_H0004_20_Yellow.xlsx","body_parts","体の部分","HM","H0004",3,"H0004","m",1,636,20
"80","HM_H0004_20_Yellow.xlsx","furniture_rooms","家具と部屋","HM","H0004",0,"H0004","m",1,636,20
"81","HM_H0004_20_Yellow.xlsx","household","小さな家庭用品","HM","H0004",0,"H0004","m",1,636,20
"82","HM_H0004_20_Yellow.xlsx","outside","戸外のもの","HM","H0004",0,"H0004","m",1,636,20
"83","HM_H0004_20_Yellow.xlsx","places","おでかけ","HM","H0004",0,"H0004","m",1,636,20
"84","HM_H0004_20_Yellow.xlsx","people","人々","HM","H0004",4,"H0004","m",1,636,20
"85","HM_H0004_20_Yellow.xlsx","games_routines","日課とあいさつ","HM","H0004",6,"H0004","m",1,636,20
"86","HM_H0004_20_Yellow.xlsx","action_words","動作語","HM","H0004",2,"H0004","m",1,636,20
"87","HM_H0004_20_Yellow.xlsx","time_words","時間についてのことば","HM","H0004",0,"H0004","m",1,636,20
"88","HM_H0004_20_Yellow.xlsx","descriptive_words","ようす・性質","HM","H0004",5,"H0004","m",1,636,20
"89","HM_H0004_20_Yellow.xlsx","pronouns","代名詞","HM","H0004",2,"H0004","m",1,636,20
"90","HM_H0004_20_Yellow.xlsx","question_words","質問のことば","HM","H0004",0,"H0004","m",1,636,20
"91","HM_H0004_20_Yellow.xlsx","locations","位置と場所についてのことば","HM","H0004",0,"H0004","m",1,636,20
"92","HM_H0004_20_Yellow.xlsx","quantifiers","数量をあらわすことば","HM","H0004",0,"H0004","m",1,636,20
"93","HM_H0004_20_Yellow.xlsx","connecting_words","接続語","HM","H0004",0,"H0004","m",1,636,20
"94","HM_H0004_20_Yellow.xlsx","sounds2","幼児語（その２）","HM","H0004",14,"H0004","m",1,636,20
"95","HM_H0004_20_Yellow.xlsx","conversations","会話語","HM","H0004",3,"H0004","m",1,636,20
"96","HM_H0004_20_Yellow.xlsx","others","その他","HM","H0004",1,"H0004","m",1,636,20
"97","HM_H0005_34_Yellow.xlsx","sounds","幼児語","HM","H0005",12,"H0005","m",1,1039,34
"98","HM_H0005_34_Yellow.xlsx","animals","動物の名前","HM","H0005",19,"H0005","m",1,1039,34
"99","HM_H0005_34_Yellow.xlsx","vehicles","乗り物","HM","H0005",9,"H0005","m",1,1039,34
"100","HM_H0005_34_Yellow.xlsx","toys","おもちゃ","HM","H0005",7,"H0005","m",1,1039,34
"101","HM_H0005_34_Yellow.xlsx","food_drink","食べ物と飲み物","HM","H0005",35,"H0005","m",1,1039,34
"102","HM_H0005_34_Yellow.xlsx","clothing","衣類","HM","H0005",7,"H0005","m",1,1039,34
"103","HM_H0005_34_Yellow.xlsx","body_parts","体の部分","HM","H0005",13,"H0005","m",1,1039,34
"104","HM_H0005_34_Yellow.xlsx","furniture_rooms","家具と部屋","HM","H0005",9,"H0005","m",1,1039,34
"105","HM_H0005_34_Yellow.xlsx","household","小さな家庭用品","HM","H0005",14,"H0005","m",1,1039,34
"106","HM_H0005_34_Yellow.xlsx","outside","戸外のもの","HM","H0005",8,"H0005","m",1,1039,34
"107","HM_H0005_34_Yellow.xlsx","places","おでかけ","HM","H0005",6,"H0005","m",1,1039,34
"108","HM_H0005_34_Yellow.xlsx","people","人々","HM","H0005",12,"H0005","m",1,1039,34
"109","HM_H0005_34_Yellow.xlsx","games_routines","日課とあいさつ","HM","H0005",24,"H0005","m",1,1039,34
"110","HM_H0005_34_Yellow.xlsx","action_words","動作語","HM","H0005",43,"H0005","m",1,1039,34
"111","HM_H0005_34_Yellow.xlsx","time_words","時間についてのことば","HM","H0005",2,"H0005","m",1,1039,34
"112","HM_H0005_34_Yellow.xlsx","descriptive_words","ようす・性質","HM","H0005",22,"H0005","m",1,1039,34
"113","HM_H0005_34_Yellow.xlsx","pronouns","代名詞","HM","H0005",6,"H0005","m",1,1039,34
"114","HM_H0005_34_Yellow.xlsx","question_words","質問のことば","HM","H0005",2,"H0005","m",1,1039,34
"115","HM_H0005_34_Yellow.xlsx","locations","位置と場所についてのことば","HM","H0005",3,"H0005","m",1,1039,34
"116","HM_H0005_34_Yellow.xlsx","quantifiers","数量をあらわすことば","HM","H0005",8,"H0005","m",1,1039,34
"117","HM_H0005_34_Yellow.xlsx","connecting_words","接続語","HM","H0005",0,"H0005","m",1,1039,34
"118","HM_H0005_34_Yellow.xlsx","sounds2","幼児語（その２）","HM","H0005",11,"H0005","m",1,1039,34
"119","HM_H0005_34_Yellow.xlsx","conversations","会話語","HM","H0005",2,"H0005","m",1,1039,34
"120","HM_H0005_34_Yellow.xlsx","others","その他","HM","H0005",4,"H0005","m",1,1039,34
"121","HM_H0006_34_Yellow.xlsx","sounds","幼児語","HM","H0006",1,"H0006","m",1,1034,34
"122","HM_H0006_34_Yellow.xlsx","animals","動物の名前","HM","H0006",38,"H0006","m",1,1034,34
"123","HM_H0006_34_Yellow.xlsx","vehicles","乗り物","HM","H0006",6,"H0006","m",1,1034,34
"124","HM_H0006_34_Yellow.xlsx","toys","おもちゃ","HM","H0006",10,"H0006","m",1,1034,34
"125","HM_H0006_34_Yellow.xlsx","food_drink","食べ物と飲み物","HM","H0006",55,"H0006","m",1,1034,34
"126","HM_H0006_34_Yellow.xlsx","clothing","衣類","HM","H0006",10,"H0006","m",1,1034,34
"127","HM_H0006_34_Yellow.xlsx","body_parts","体の部分","HM","H0006",25,"H0006","m",1,1034,34
"128","HM_H0006_34_Yellow.xlsx","furniture_rooms","家具と部屋","HM","H0006",14,"H0006","m",1,1034,34
"129","HM_H0006_34_Yellow.xlsx","household","小さな家庭用品","HM","H0006",26,"H0006","m",1,1034,34
"130","HM_H0006_34_Yellow.xlsx","outside","戸外のもの","HM","H0006",18,"H0006","m",1,1034,34
"131","HM_H0006_34_Yellow.xlsx","places","おでかけ","HM","H0006",5,"H0006","m",1,1034,34
"132","HM_H0006_34_Yellow.xlsx","people","人々","HM","H0006",14,"H0006","m",1,1034,34
"133","HM_H0006_34_Yellow.xlsx","games_routines","日課とあいさつ","HM","H0006",25,"H0006","m",1,1034,34
"134","HM_H0006_34_Yellow.xlsx","action_words","動作語","HM","H0006",90,"H0006","m",1,1034,34
"135","HM_H0006_34_Yellow.xlsx","time_words","時間についてのことば","HM","H0006",1,"H0006","m",1,1034,34
"136","HM_H0006_34_Yellow.xlsx","descriptive_words","ようす・性質","HM","H0006",56,"H0006","m",1,1034,34
"137","HM_H0006_34_Yellow.xlsx","pronouns","代名詞","HM","H0006",18,"H0006","m",1,1034,34
"138","HM_H0006_34_Yellow.xlsx","question_words","質問のことば","HM","H0006",9,"H0006","m",1,1034,34
"139","HM_H0006_34_Yellow.xlsx","locations","位置と場所についてのことば","HM","H0006",6,"H0006","m",1,1034,34
"140","HM_H0006_34_Yellow.xlsx","quantifiers","数量をあらわすことば","HM","H0006",14,"H0006","m",1,1034,34
"141","HM_H0006_34_Yellow.xlsx","connecting_words","接続語","HM","H0006",2,"H0006","m",1,1034,34
"142","HM_H0006_34_Yellow.xlsx","sounds2","幼児語（その２）","HM","H0006",2,"H0006","m",1,1034,34
"143","HM_H0006_34_Yellow.xlsx","conversations","会話語","HM","H0006",12,"H0006","m",1,1034,34
"144","HM_H0006_34_Yellow.xlsx","others","その他","HM","H0006",7,"H0006","m",1,1034,34
"145","HM_H0007_20_Yellow.xlsx","sounds","幼児語","HM","H0007",7,"H0007","m",1,623,20
"146","HM_H0007_20_Yellow.xlsx","animals","動物の名前","HM","H0007",0,"H0007","m",1,623,20
"147","HM_H0007_20_Yellow.xlsx","vehicles","乗り物","HM","H0007",8,"H0007","m",1,623,20
"148","HM_H0007_20_Yellow.xlsx","toys","おもちゃ","HM","H0007",1,"H0007","m",1,623,20
"149","HM_H0007_20_Yellow.xlsx","food_drink","食べ物と飲み物","HM","H0007",4,"H0007","m",1,623,20
"150","HM_H0007_20_Yellow.xlsx","clothing","衣類","HM","H0007",2,"H0007","m",1,623,20
"151","HM_H0007_20_Yellow.xlsx","body_parts","体の部分","HM","H0007",0,"H0007","m",1,623,20
"152","HM_H0007_20_Yellow.xlsx","furniture_rooms","家具と部屋","HM","H0007",0,"H0007","m",1,623,20
"153","HM_H0007_20_Yellow.xlsx","household","小さな家庭用品","HM","H0007",1,"H0007","m",1,623,20
"154","HM_H0007_20_Yellow.xlsx","outside","戸外のもの","HM","H0007",0,"H0007","m",1,623,20
"155","HM_H0007_20_Yellow.xlsx","places","おでかけ","HM","H0007",0,"H0007","m",1,623,20
"156","HM_H0007_20_Yellow.xlsx","people","人々","HM","H0007",3,"H0007","m",1,623,20
"157","HM_H0007_20_Yellow.xlsx","games_routines","日課とあいさつ","HM","H0007",6,"H0007","m",1,623,20
"158","HM_H0007_20_Yellow.xlsx","action_words","動作語","HM","H0007",3,"H0007","m",1,623,20
"159","HM_H0007_20_Yellow.xlsx","time_words","時間についてのことば","HM","H0007",0,"H0007","m",1,623,20
"160","HM_H0007_20_Yellow.xlsx","descriptive_words","ようす・性質","HM","H0007",5,"H0007","m",1,623,20
"161","HM_H0007_20_Yellow.xlsx","pronouns","代名詞","HM","H0007",1,"H0007","m",1,623,20
"162","HM_H0007_20_Yellow.xlsx","question_words","質問のことば","HM","H0007",0,"H0007","m",1,623,20
"163","HM_H0007_20_Yellow.xlsx","locations","位置と場所についてのことば","HM","H0007",0,"H0007","m",1,623,20
"164","HM_H0007_20_Yellow.xlsx","quantifiers","数量をあらわすことば","HM","H0007",1,"H0007","m",1,623,20
"165","HM_H0007_20_Yellow.xlsx","connecting_words","接続語","HM","H0007",0,"H0007","m",1,623,20
"166","HM_H0007_20_Yellow.xlsx","sounds2","幼児語（その２）","HM","H0007",9,"H0007","m",1,623,20
"167","HM_H0007_20_Yellow.xlsx","conversations","会話語","HM","H0007",3,"H0007","m",1,623,20
"168","HM_H0007_20_Yellow.xlsx","others","その他","HM","H0007",2,"H0007","m",1,623,20
"169","HM_H0008_32_Yellow.xlsx","sounds","幼児語","HM","H0008",12,"H0008","m",1,982,32
"170","HM_H0008_32_Yellow.xlsx","animals","動物の名前","HM","H0008",13,"H0008","m",1,982,32
"171","HM_H0008_32_Yellow.xlsx","vehicles","乗り物","HM","H0008",11,"H0008","m",1,982,32
"172","HM_H0008_32_Yellow.xlsx","toys","おもちゃ","HM","H0008",7,"H0008","m",1,982,32
"173","HM_H0008_32_Yellow.xlsx","food_drink","食べ物と飲み物","HM","H0008",38,"H0008","m",1,982,32
"174","HM_H0008_32_Yellow.xlsx","clothing","衣類","HM","H0008",9,"H0008","m",1,982,32
"175","HM_H0008_32_Yellow.xlsx","body_parts","体の部分","HM","H0008",19,"H0008","m",1,982,32
"176","HM_H0008_32_Yellow.xlsx","furniture_rooms","家具と部屋","HM","H0008",12,"H0008","m",1,982,32
"177","HM_H0008_32_Yellow.xlsx","household","小さな家庭用品","HM","H0008",29,"H0008","m",1,982,32
"178","HM_H0008_32_Yellow.xlsx","outside","戸外のもの","HM","H0008",19,"H0008","m",1,982,32
"179","HM_H0008_32_Yellow.xlsx","places","おでかけ","HM","H0008",10,"H0008","m",1,982,32
"180","HM_H0008_32_Yellow.xlsx","people","人々","HM","H0008",16,"H0008","m",1,982,32
"181","HM_H0008_32_Yellow.xlsx","games_routines","日課とあいさつ","HM","H0008",19,"H0008","m",1,982,32
"182","HM_H0008_32_Yellow.xlsx","action_words","動作語","HM","H0008",27,"H0008","m",1,982,32
"183","HM_H0008_32_Yellow.xlsx","time_words","時間についてのことば","HM","H0008",6,"H0008","m",1,982,32
"184","HM_H0008_32_Yellow.xlsx","descriptive_words","ようす・性質","HM","H0008",23,"H0008","m",1,982,32
"185","HM_H0008_32_Yellow.xlsx","pronouns","代名詞","HM","H0008",7,"H0008","m",1,982,32
"186","HM_H0008_32_Yellow.xlsx","question_words","質問のことば","HM","H0008",4,"H0008","m",1,982,32
"187","HM_H0008_32_Yellow.xlsx","locations","位置と場所についてのことば","HM","H0008",5,"H0008","m",1,982,32
"188","HM_H0008_32_Yellow.xlsx","quantifiers","数量をあらわすことば","HM","H0008",8,"H0008","m",1,982,32
"189","HM_H0008_32_Yellow.xlsx","connecting_words","接続語","HM","H0008",0,"H0008","m",1,982,32
"190","HM_H0008_32_Yellow.xlsx","sounds2","幼児語（その２）","HM","H0008",26,"H0008","m",1,982,32
"191","HM_H0008_32_Yellow.xlsx","conversations","会話語","HM","H0008",8,"H0008","m",1,982,32
"192","HM_H0008_32_Yellow.xlsx","others","その他","HM","H0008",6,"H0008","m",1,982,32
"193","HM_H0009_30_Yellow.xlsx","sounds","幼児語","HM","H0009",11,"H0009","f",1,924,30
"194","HM_H0009_30_Yellow.xlsx","animals","動物の名前","HM","H0009",23,"H0009","f",1,924,30
"195","HM_H0009_30_Yellow.xlsx","vehicles","乗り物","HM","H0009",6,"H0009","f",1,924,30
"196","HM_H0009_30_Yellow.xlsx","toys","おもちゃ","HM","H0009",11,"H0009","f",1,924,30
"197","HM_H0009_30_Yellow.xlsx","food_drink","食べ物と飲み物","HM","H0009",34,"H0009","f",1,924,30
"198","HM_H0009_30_Yellow.xlsx","clothing","衣類","HM","H0009",8,"H0009","f",1,924,30
"199","HM_H0009_30_Yellow.xlsx","body_parts","体の部分","HM","H0009",18,"H0009","f",1,924,30
"200","HM_H0009_30_Yellow.xlsx","furniture_rooms","家具と部屋","HM","H0009",9,"H0009","f",1,924,30
"201","HM_H0009_30_Yellow.xlsx","household","小さな家庭用品","HM","H0009",18,"H0009","f",1,924,30
"202","HM_H0009_30_Yellow.xlsx","outside","戸外のもの","HM","H0009",12,"H0009","f",1,924,30
"203","HM_H0009_30_Yellow.xlsx","places","おでかけ","HM","H0009",6,"H0009","f",1,924,30
"204","HM_H0009_30_Yellow.xlsx","people","人々","HM","H0009",12,"H0009","f",1,924,30
"205","HM_H0009_30_Yellow.xlsx","games_routines","日課とあいさつ","HM","H0009",24,"H0009","f",1,924,30
"206","HM_H0009_30_Yellow.xlsx","action_words","動作語","HM","H0009",60,"H0009","f",1,924,30
"207","HM_H0009_30_Yellow.xlsx","time_words","時間についてのことば","HM","H0009",3,"H0009","f",1,924,30
"208","HM_H0009_30_Yellow.xlsx","descriptive_words","ようす・性質","HM","H0009",27,"H0009","f",1,924,30
"209","HM_H0009_30_Yellow.xlsx","pronouns","代名詞","HM","H0009",4,"H0009","f",1,924,30
"210","HM_H0009_30_Yellow.xlsx","question_words","質問のことば","HM","H0009",0,"H0009","f",1,924,30
"211","HM_H0009_30_Yellow.xlsx","locations","位置と場所についてのことば","HM","H0009",2,"H0009","f",1,924,30
"212","HM_H0009_30_Yellow.xlsx","quantifiers","数量をあらわすことば","HM","H0009",8,"H0009","f",1,924,30
"213","HM_H0009_30_Yellow.xlsx","connecting_words","接続語","HM","H0009",0,"H0009","f",1,924,30
"214","HM_H0009_30_Yellow.xlsx","sounds2","幼児語（その２）","HM","H0009",15,"H0009","f",1,924,30
"215","HM_H0009_30_Yellow.xlsx","conversations","会話語","HM","H0009",9,"H0009","f",1,924,30
"216","HM_H0009_30_Yellow.xlsx","others","その他","HM","H0009",7,"H0009","f",1,924,30
"217","HM_H0010_31_Yellow.xlsx","sounds","幼児語","HM","H0010",3,"H0010","m",1,964,31
"218","HM_H0010_31_Yellow.xlsx","animals","動物の名前","HM","H0010",0,"H0010","m",1,964,31
"219","HM_H0010_31_Yellow.xlsx","vehicles","乗り物","HM","H0010",0,"H0010","m",1,964,31
"220","HM_H0010_31_Yellow.xlsx","toys","おもちゃ","HM","H0010",0,"H0010","m",1,964,31
"221","HM_H0010_31_Yellow.xlsx","food_drink","食べ物と飲み物","HM","H0010",0,"H0010","m",1,964,31
"222","HM_H0010_31_Yellow.xlsx","clothing","衣類","HM","H0010",0,"H0010","m",1,964,31
"223","HM_H0010_31_Yellow.xlsx","body_parts","体の部分","HM","H0010",0,"H0010","m",1,964,31
"224","HM_H0010_31_Yellow.xlsx","furniture_rooms","家具と部屋","HM","H0010",0,"H0010","m",1,964,31
"225","HM_H0010_31_Yellow.xlsx","household","小さな家庭用品","HM","H0010",0,"H0010","m",1,964,31
"226","HM_H0010_31_Yellow.xlsx","outside","戸外のもの","HM","H0010",0,"H0010","m",1,964,31
"227","HM_H0010_31_Yellow.xlsx","places","おでかけ","HM","H0010",0,"H0010","m",1,964,31
"228","HM_H0010_31_Yellow.xlsx","people","人々","HM","H0010",1,"H0010","m",1,964,31
"229","HM_H0010_31_Yellow.xlsx","games_routines","日課とあいさつ","HM","H0010",1,"H0010","m",1,964,31
"230","HM_H0010_31_Yellow.xlsx","action_words","動作語","HM","H0010",1,"H0010","m",1,964,31
"231","HM_H0010_31_Yellow.xlsx","time_words","時間についてのことば","HM","H0010",0,"H0010","m",1,964,31
"232","HM_H0010_31_Yellow.xlsx","descriptive_words","ようす・性質","HM","H0010",0,"H0010","m",1,964,31
"233","HM_H0010_31_Yellow.xlsx","pronouns","代名詞","HM","H0010",0,"H0010","m",1,964,31
"234","HM_H0010_31_Yellow.xlsx","question_words","質問のことば","HM","H0010",0,"H0010","m",1,964,31
"235","HM_H0010_31_Yellow.xlsx","locations","位置と場所についてのことば","HM","H0010",0,"H0010","m",1,964,31
"236","HM_H0010_31_Yellow.xlsx","quantifiers","数量をあらわすことば","HM","H0010",0,"H0010","m",1,964,31
"237","HM_H0010_31_Yellow.xlsx","connecting_words","接続語","HM","H0010",0,"H0010","m",1,964,31
"238","HM_H0010_31_Yellow.xlsx","sounds2","幼児語（その２）","HM","H0010",1,"H0010","m",1,964,31
"239","HM_H0010_31_Yellow.xlsx","conversations","会話語","HM","H0010",1,"H0010","m",1,964,31
"240","HM_H0010_31_Yellow.xlsx","others","その他","HM","H0010",1,"H0010","m",1,964,31
"241","HM_H0011_29_Yellow.xlsx","sounds","幼児語","HM","H0011",3,"H0011","m",1,881,29
"242","HM_H0011_29_Yellow.xlsx","animals","動物の名前","HM","H0011",22,"H0011","m",1,881,29
"243","HM_H0011_29_Yellow.xlsx","vehicles","乗り物","HM","H0011",11,"H0011","m",1,881,29
"244","HM_H0011_29_Yellow.xlsx","toys","おもちゃ","HM","H0011",7,"H0011","m",1,881,29
"245","HM_H0011_29_Yellow.xlsx","food_drink","食べ物と飲み物","HM","H0011",34,"H0011","m",1,881,29
"246","HM_H0011_29_Yellow.xlsx","clothing","衣類","HM","H0011",12,"H0011","m",1,881,29
"247","HM_H0011_29_Yellow.xlsx","body_parts","体の部分","HM","H0011",17,"H0011","m",1,881,29
"248","HM_H0011_29_Yellow.xlsx","furniture_rooms","家具と部屋","HM","H0011",12,"H0011","m",1,881,29
"249","HM_H0011_29_Yellow.xlsx","household","小さな家庭用品","HM","H0011",26,"H0011","m",1,881,29
"250","HM_H0011_29_Yellow.xlsx","outside","戸外のもの","HM","H0011",10,"H0011","m",1,881,29
"251","HM_H0011_29_Yellow.xlsx","places","おでかけ","HM","H0011",7,"H0011","m",1,881,29
"252","HM_H0011_29_Yellow.xlsx","people","人々","HM","H0011",11,"H0011","m",1,881,29
